takes_female,plural,classification,verb_id,frequency_rank,DOsentence,PDsentence,theme_type,theme_id,recipient_id,i,trial_set
FALSE,FALSE,alternating,101,1,John took her a cake,John took a cake to her,indef,4,pronoun,18,11
FALSE,FALSE,alternating,101,1,Alice took the woman a cake,Alice took a cake to the woman,indef,4,shortDefinite,19,61
FALSE,FALSE,alternating,101,1,Alice took a woman a cake,Alice took a cake to a woman,indef,4,shortIndefinite,20,12
FALSE,FALSE,alternating,101,1,Bob took the man wearing the hat something,Bob took something to the man wearing the hat,something,5,longDefinite,21,63
FALSE,FALSE,alternating,101,1,Juan took a woman wearing a hat something,Juan took something to a woman wearing a hat,something,5,longIndefinite,22,13
FALSE,FALSE,alternating,101,1,Linda took him something,Linda took something to him,something,5,pronoun,23,64
FALSE,FALSE,alternating,101,1,Michael took the woman something,Michael took something to the woman,something,5,shortDefinite,24,14
FALSE,FALSE,alternating,101,1,Mary took a woman something,Mary took something to a woman,something,5,shortIndefinite,25,65
FALSE,FALSE,alternating,102,2,Mary told the man from work the news,Mary told the news to the man from work,def,1,longDefinite,26,16
FALSE,FALSE,alternating,102,2,Linda told a woman who was from work the news,Linda told the news to a woman who was from work,def,1,longIndefinite,27,66
FALSE,FALSE,alternating,102,2,Juan told her the news,Juan told the news to her,def,1,pronoun,28,17
FALSE,FALSE,alternating,102,2,Michael told the man the news,Michael told the news to the man,def,1,shortDefinite,29,67
FALSE,FALSE,alternating,102,2,Linda told a woman the news,Linda told the news to a woman,def,1,shortIndefinite,30,18
FALSE,FALSE,alternating,102,2,Linda told the woman wearing the hat the tale,Linda told the tale to the woman wearing the hat,def,2,longDefinite,31,69
FALSE,FALSE,alternating,102,2,Maria told a woman who was wearing a hat the tale,Maria told the tale to a woman who was wearing a hat,def,2,longIndefinite,32,19
FALSE,FALSE,alternating,102,2,Maria told him the tale,Maria told the tale to him,def,2,pronoun,33,70
FALSE,FALSE,alternating,102,2,Linda told the man the tale,Linda told the tale to the man,def,2,shortDefinite,34,21
FALSE,FALSE,alternating,102,2,John told a man the tale,John told the tale to a man,def,2,shortIndefinite,35,71
FALSE,FALSE,alternating,102,2,Linda told the man who was wearing the hat a story,Linda told a story to the man who was wearing the hat,indef,3,longDefinite,36,22
FALSE,FALSE,alternating,102,2,Alice told a woman from work a story,Alice told a story to a woman from work,indef,3,longIndefinite,37,72
FALSE,FALSE,alternating,102,2,Linda told him a story,Linda told a story to him,indef,3,pronoun,38,23
FALSE,FALSE,alternating,102,2,Linda told the woman a story,Linda told a story to the woman,indef,3,shortDefinite,39,74
FALSE,FALSE,alternating,102,2,Alice told a woman a story,Alice told a story to a woman,indef,3,shortIndefinite,40,24
FALSE,FALSE,alternating,102,2,Alice told the man wearing the hat some information,Alice told some information to the man wearing the hat,indef,4,longDefinite,41,75
FALSE,FALSE,alternating,102,2,Michael told a woman who was from work some information,Michael told some information to a woman who was from work,indef,4,longIndefinite,42,26
FALSE,FALSE,alternating,102,2,Alice told him some information,Alice told some information to him,indef,4,pronoun,43,76
FALSE,FALSE,alternating,102,2,Maria told the man some information,Maria told some information to the man,indef,4,shortDefinite,44,27
FALSE,FALSE,alternating,102,2,Juan told a man some information,Juan told some information to a man,indef,4,shortIndefinite,45,77
FALSE,FALSE,alternating,102,2,Juan told the man who was from work something,Juan told something to the man who was from work,something,5,longDefinite,46,28
FALSE,FALSE,alternating,102,2,Juan told a man from work something,Juan told something to a man from work,something,5,longIndefinite,47,79
FALSE,FALSE,alternating,102,2,Michael told her something,Michael told something to her,something,5,pronoun,48,29
FALSE,FALSE,alternating,102,2,Michael told the man something,Michael told something to the man,something,5,shortDefinite,49,80
FALSE,FALSE,alternating,102,2,Maria told a man something,Maria told something to a man,something,5,shortIndefinite,50,31
FALSE,FALSE,alternating,103,3,Linda gave the man from work the book,Linda gave the book to the man from work,def,1,longDefinite,51,81
FALSE,FALSE,alternating,103,3,Alice gave a woman wearing a hat the book,Alice gave the book to a woman wearing a hat,def,1,longIndefinite,52,32
FALSE,FALSE,alternating,103,3,Juan gave her the book,Juan gave the book to her,def,1,pronoun,53,82
FALSE,FALSE,alternating,103,3,Bob gave the woman the book,Bob gave the book to the woman,def,1,shortDefinite,54,33
FALSE,FALSE,alternating,103,3,Mary gave a woman the book,Mary gave the book to a woman,def,1,shortIndefinite,55,84
FALSE,FALSE,alternating,103,3,Linda gave the woman from work the job,Linda gave the job to the woman from work,def,2,longDefinite,56,34
FALSE,FALSE,alternating,103,3,Mary gave a woman who was from work the job,Mary gave the job to a woman who was from work,def,2,longIndefinite,57,85
FALSE,FALSE,alternating,103,3,Alice gave him the job,Alice gave the job to him,def,2,pronoun,58,35
FALSE,FALSE,alternating,103,3,Mary gave the man the job,Mary gave the job to the man,def,2,shortDefinite,59,86
FALSE,FALSE,alternating,103,3,Maria gave a woman the job,Maria gave the job to a woman,def,2,shortIndefinite,60,37
FALSE,FALSE,alternating,103,3,Mary gave the man who was wearing the hat a gift,Mary gave a gift to the man who was wearing the hat,indef,3,longDefinite,61,87
FALSE,FALSE,alternating,103,3,Alice gave a man who was from work a gift,Alice gave a gift to a man who was from work,indef,3,longIndefinite,62,38
FALSE,FALSE,alternating,103,3,Alice gave him a gift,Alice gave a gift to him,indef,3,pronoun,63,89
FALSE,FALSE,alternating,103,3,Juan gave the man a gift,Juan gave a gift to the man,indef,3,shortDefinite,64,39
FALSE,FALSE,alternating,103,3,Mary gave a man a gift,Mary gave a gift to a man,indef,3,shortIndefinite,65,90
FALSE,FALSE,alternating,103,3,Alice gave the woman who was from work a message,Alice gave a message to the woman who was from work,indef,4,longDefinite,66,40
FALSE,FALSE,alternating,103,3,Michael gave a man wearing a hat a message,Michael gave a message to a man wearing a hat,indef,4,longIndefinite,67,91
FALSE,FALSE,alternating,103,3,Juan gave her a message,Juan gave a message to her,indef,4,pronoun,68,42
FALSE,FALSE,alternating,103,3,John gave the man a message,John gave a message to the man,indef,4,shortDefinite,69,92
FALSE,FALSE,alternating,103,3,Bob gave a woman a message,Bob gave a message to a woman,indef,4,shortIndefinite,70,43
FALSE,FALSE,alternating,103,3,John gave the woman wearing the hat something,John gave something to the woman wearing the hat,something,5,longDefinite,71,94
FALSE,FALSE,alternating,103,3,Maria gave a man who was wearing a hat something,Maria gave something to a man who was wearing a hat,something,5,longIndefinite,72,44
FALSE,FALSE,alternating,103,3,Linda gave him something,Linda gave something to him,something,5,pronoun,73,95
FALSE,FALSE,alternating,103,3,John gave the woman something,John gave something to the woman,something,5,shortDefinite,74,45
FALSE,FALSE,alternating,103,3,Maria gave a man something,Maria gave something to a man,something,5,shortIndefinite,75,96
FALSE,FALSE,alternating,104,4,Linda asked the woman from work the question,Linda asked the question to the woman from work,def,1,longDefinite,76,47
FALSE,FALSE,alternating,104,4,Bob asked a man wearing a hat the question,Bob asked the question to a man wearing a hat,def,1,longIndefinite,77,97
FALSE,FALSE,alternating,104,4,Alice asked him the question,Alice asked the question to him,def,1,pronoun,78,48
FALSE,FALSE,alternating,104,4,Mary asked the man the question,Mary asked the question to the man,def,1,shortDefinite,79,98
FALSE,FALSE,alternating,104,4,Bob asked a man the question,Bob asked the question to a man,def,1,shortIndefinite,80,49
FALSE,FALSE,alternating,104,4,Linda asked the man who was from work the questions,Linda asked the questions to the man who was from work,def,2,longDefinite,81,0
FALSE,FALSE,alternating,104,4,Maria asked a woman who was wearing a hat the questions,Maria asked the questions to a woman who was wearing a hat,def,2,longIndefinite,82,50
FALSE,FALSE,alternating,104,4,Mary asked him the questions,Mary asked the questions to him,def,2,pronoun,83,1
FALSE,FALSE,alternating,104,4,Linda asked the man the questions,Linda asked the questions to the man,def,2,shortDefinite,84,52
FALSE,FALSE,alternating,104,4,Bob asked a woman the questions,Bob asked the questions to a woman,def,2,shortIndefinite,85,2
FALSE,FALSE,alternating,104,4,Mary asked the man who was wearing the hat a question,Mary asked a question to the man who was wearing the hat,indef,3,longDefinite,86,53
FALSE,FALSE,alternating,104,4,Michael asked a woman who was wearing a hat a question,Michael asked a question to a woman who was wearing a hat,indef,3,longIndefinite,87,3
FALSE,FALSE,alternating,104,4,Juan asked her a question,Juan asked a question to her,indef,3,pronoun,88,54
FALSE,FALSE,alternating,104,4,Maria asked the man a question,Maria asked a question to the man,indef,3,shortDefinite,89,5
FALSE,FALSE,alternating,104,4,Juan asked a woman a question,Juan asked a question to a woman,indef,3,shortIndefinite,90,55
FALSE,FALSE,alternating,104,4,Michael asked the man from work some questions,Michael asked some questions to the man from work,indef,4,longDefinite,91,6
FALSE,FALSE,alternating,104,4,Bob asked a man who was from work some questions,Bob asked some questions to a man who was from work,indef,4,longIndefinite,92,57
FALSE,FALSE,alternating,104,4,Maria asked him some questions,Maria asked some questions to him,indef,4,pronoun,93,7
FALSE,FALSE,alternating,104,4,Linda asked the man some questions,Linda asked some questions to the man,indef,4,shortDefinite,94,58
FALSE,FALSE,alternating,104,4,Bob asked a man some questions,Bob asked some questions to a man,indef,4,shortIndefinite,95,8
FALSE,FALSE,alternating,104,4,Linda asked the woman from work something,Linda asked something to the woman from work,something,5,longDefinite,96,59
FALSE,FALSE,alternating,104,4,Juan asked a man wearing a hat something,Juan asked something to a man wearing a hat,something,5,longIndefinite,97,10
FALSE,FALSE,alternating,104,4,Bob asked her something,Bob asked something to her,something,5,pronoun,98,60
FALSE,FALSE,alternating,104,4,Maria asked the man something,Maria asked something to the man,something,5,shortDefinite,99,11
FALSE,FALSE,alternating,104,4,John asked a man something,John asked something to a man,something,5,shortIndefinite,100,62
FALSE,FALSE,alternating,105,5,Alice showed the woman who was from work the city,Alice showed the city to the woman who was from work,def,1,longDefinite,101,12
FALSE,FALSE,alternating,105,5,Bob showed a woman who was wearing a hat the city,Bob showed the city to a woman who was wearing a hat,def,1,longIndefinite,102,63
FALSE,FALSE,alternating,105,5,Juan showed her the city,Juan showed the city to her,def,1,pronoun,103,13
FALSE,FALSE,alternating,105,5,John showed the woman the city,John showed the city to the woman,def,1,shortDefinite,104,64
FALSE,FALSE,alternating,105,5,John showed a woman the city,John showed the city to a woman,def,1,shortIndefinite,105,15
FALSE,FALSE,alternating,105,5,Maria showed the woman who was from work the way,Maria showed the way to the woman who was from work,def,2,longDefinite,106,65
FALSE,FALSE,alternating,105,5,Juan showed a man from work the way,Juan showed the way to a man from work,def,2,longIndefinite,107,16
FALSE,FALSE,alternating,105,5,Mary showed him the way,Mary showed the way to him,def,2,pronoun,108,66
FALSE,FALSE,alternating,105,5,Linda showed the man the way,Linda showed the way to the man,def,2,shortDefinite,109,17
FALSE,FALSE,alternating,105,5,Mary showed a woman the way,Mary showed the way to a woman,def,2,shortIndefinite,110,68
FALSE,FALSE,alternating,105,5,Bob showed the woman wearing the hat a picture,Bob showed a picture to the woman wearing the hat,indef,3,longDefinite,111,18
FALSE,FALSE,alternating,105,5,Linda showed a man who was from work a picture,Linda showed a picture to a man who was from work,indef,3,longIndefinite,112,69
FALSE,FALSE,alternating,105,5,Juan showed her a picture,Juan showed a picture to her,indef,3,pronoun,113,20
FALSE,FALSE,alternating,105,5,Maria showed the man a picture,Maria showed a picture to the man,indef,3,shortDefinite,114,70
FALSE,FALSE,alternating,105,5,Juan showed a woman a picture,Juan showed a picture to a woman,indef,3,shortIndefinite,115,21
FALSE,FALSE,alternating,105,5,Linda showed the man wearing the hat a trick,Linda showed a trick to the man wearing the hat,indef,4,longDefinite,116,71
FALSE,FALSE,alternating,105,5,Bob showed a man wearing a hat a trick,Bob showed a trick to a man wearing a hat,indef,4,longIndefinite,117,22
FALSE,FALSE,alternating,105,5,John showed her a trick,John showed a trick to her,indef,4,pronoun,118,73
FALSE,FALSE,alternating,105,5,Michael showed the man a trick,Michael showed a trick to the man,indef,4,shortDefinite,119,23
FALSE,FALSE,alternating,105,5,Alice showed a man a trick,Alice showed a trick to a man,indef,4,shortIndefinite,120,74
FALSE,FALSE,alternating,105,5,Juan showed the man who was wearing the hat something,Juan showed something to the man who was wearing the hat,something,5,longDefinite,121,25
FALSE,FALSE,alternating,105,5,Maria showed a man from work something,Maria showed something to a man from work,something,5,longIndefinite,122,75
FALSE,FALSE,alternating,105,5,John showed her something,John showed something to her,something,5,pronoun,123,26
FALSE,FALSE,alternating,105,5,Michael showed the man something,Michael showed something to the man,something,5,shortDefinite,124,76
FALSE,FALSE,alternating,105,5,Michael showed a woman something,Michael showed something to a woman,something,5,shortIndefinite,125,27
FALSE,FALSE,alternating,106,6,Alice wrote the woman who was from work the letter,Alice wrote the letter to the woman who was from work,def,1,longDefinite,126,78
FALSE,FALSE,alternating,106,6,Maria wrote a woman who was from work the letter,Maria wrote the letter to a woman who was from work,def,1,longIndefinite,127,28
FALSE,FALSE,alternating,106,6,Maria wrote him the letter,Maria wrote the letter to him,def,1,pronoun,128,79
FALSE,FALSE,alternating,106,6,Juan wrote the man the letter,Juan wrote the letter to the man,def,1,shortDefinite,129,29
FALSE,FALSE,alternating,106,6,Mary wrote a man the letter,Mary wrote the letter to a man,def,1,shortIndefinite,130,80
FALSE,FALSE,alternating,106,6,Michael wrote the man wearing the hat the message,Michael wrote the message to the man wearing the hat,def,2,longDefinite,131,31
FALSE,FALSE,alternating,106,6,Juan wrote a man from work the message,Juan wrote the message to a man from work,def,2,longIndefinite,132,81
FALSE,FALSE,alternating,106,6,Linda wrote him the message,Linda wrote the message to him,def,2,pronoun,133,32
FALSE,FALSE,alternating,106,6,Alice wrote the woman the message,Alice wrote the message to the woman,def,2,shortDefinite,134,83
FALSE,FALSE,alternating,106,6,John wrote a man the message,John wrote the message to a man,def,2,shortIndefinite,135,33
FALSE,FALSE,alternating,106,6,Juan wrote the woman from work a check,Juan wrote a check to the woman from work,indef,3,longDefinite,136,84
FALSE,FALSE,alternating,106,6,Linda wrote a man who was wearing a hat a check,Linda wrote a check to a man who was wearing a hat,indef,3,longIndefinite,137,34
FALSE,FALSE,alternating,106,6,Maria wrote him a check,Maria wrote a check to him,indef,3,pronoun,138,85
FALSE,FALSE,alternating,106,6,Juan wrote the man a check,Juan wrote a check to the man,indef,3,shortDefinite,139,36
FALSE,FALSE,alternating,106,6,John wrote a woman a check,John wrote a check to a woman,indef,3,shortIndefinite,140,86
FALSE,FALSE,alternating,106,6,Michael wrote the man who was wearing the hat a note,Michael wrote a note to the man who was wearing the hat,indef,4,longDefinite,141,37
FALSE,FALSE,alternating,106,6,Michael wrote a woman from work a note,Michael wrote a note to a woman from work,indef,4,longIndefinite,142,88
FALSE,FALSE,alternating,106,6,Bob wrote her a note,Bob wrote a note to her,indef,4,pronoun,143,38
FALSE,FALSE,alternating,106,6,Linda wrote the man a note,Linda wrote a note to the man,indef,4,shortDefinite,144,89
FALSE,FALSE,alternating,106,6,Mary wrote a woman a note,Mary wrote a note to a woman,indef,4,shortIndefinite,145,39
FALSE,FALSE,alternating,106,6,Michael wrote the woman who was wearing the hat something,Michael wrote something to the woman who was wearing the hat,something,5,longDefinite,146,90
FALSE,FALSE,alternating,106,6,Mary wrote a man who was from work something,Mary wrote something to a man who was from work,something,5,longIndefinite,147,41
FALSE,FALSE,alternating,106,6,John wrote her something,John wrote something to her,something,5,pronoun,148,91
FALSE,FALSE,alternating,106,6,Alice wrote the woman something,Alice wrote something to the woman,something,5,shortDefinite,149,42
FALSE,FALSE,alternating,106,6,Linda wrote a man something,Linda wrote something to a man,something,5,shortIndefinite,150,93
FALSE,FALSE,alternating,107,7,Linda brought the man who was from work the gift,Linda brought the gift to the man who was from work,def,1,longDefinite,151,43
FALSE,FALSE,alternating,107,7,John brought a woman wearing a hat the gift,John brought the gift to a woman wearing a hat,def,1,longIndefinite,152,94
FALSE,FALSE,alternating,107,7,John brought her the gift,John brought the gift to her,def,1,pronoun,153,44
FALSE,FALSE,alternating,107,7,John brought the man the gift,John brought the gift to the man,def,1,shortDefinite,154,95
FALSE,FALSE,alternating,107,7,Linda brought a woman the gift,Linda brought the gift to a woman,def,1,shortIndefinite,155,46
FALSE,FALSE,alternating,107,7,John brought the man wearing the hat the cake,John brought the cake to the man wearing the hat,def,2,longDefinite,156,96
FALSE,FALSE,alternating,107,7,Juan brought a man from work the cake,Juan brought the cake to a man from work,def,2,longIndefinite,157,47
FALSE,FALSE,alternating,107,7,Mary brought him the cake,Mary brought the cake to him,def,2,pronoun,158,97
FALSE,FALSE,alternating,107,7,Bob brought the man the cake,Bob brought the cake to the man,def,2,shortDefinite,159,48
FALSE,FALSE,alternating,107,7,Alice brought a woman the cake,Alice brought the cake to a woman,def,2,shortIndefinite,160,99
FALSE,FALSE,alternating,107,7,Mary brought the woman from work a meal,Mary brought a meal to the woman from work,indef,3,longDefinite,161,49
FALSE,FALSE,alternating,107,7,Michael brought a man from work a meal,Michael brought a meal to a man from work,indef,3,longIndefinite,162,0
FALSE,FALSE,alternating,107,7,Juan brought her a meal,Juan brought a meal to her,indef,3,pronoun,163,51
FALSE,FALSE,alternating,107,7,Juan brought the woman a meal,Juan brought a meal to the woman,indef,3,shortDefinite,164,1
FALSE,FALSE,alternating,107,7,John brought a woman a meal,John brought a meal to a woman,indef,3,shortIndefinite,165,52
FALSE,FALSE,alternating,107,7,Juan brought the woman who was from work a blanket,Juan brought a blanket to the woman who was from work,indef,4,longDefinite,166,2
FALSE,FALSE,alternating,107,7,Maria brought a woman who was wearing a hat a blanket,Maria brought a blanket to a woman who was wearing a hat,indef,4,longIndefinite,167,53
FALSE,FALSE,alternating,107,7,Mary brought him a blanket,Mary brought a blanket to him,indef,4,pronoun,168,4
FALSE,FALSE,alternating,107,7,Michael brought the man a blanket,Michael brought a blanket to the man,indef,4,shortDefinite,169,54
FALSE,FALSE,alternating,107,7,Juan brought a woman a blanket,Juan brought a blanket to a woman,indef,4,shortIndefinite,170,5
FALSE,FALSE,alternating,107,7,Bob brought the woman who was wearing the hat something,Bob brought something to the woman who was wearing the hat,something,5,longDefinite,171,56
FALSE,FALSE,alternating,107,7,Maria brought a woman who was wearing a hat something,Maria brought something to a woman who was wearing a hat,something,5,longIndefinite,172,6
FALSE,FALSE,alternating,107,7,Maria brought him something,Maria brought something to him,something,5,pronoun,173,57
FALSE,FALSE,alternating,107,7,Maria brought the man something,Maria brought something to the man,something,5,shortDefinite,174,7
FALSE,FALSE,alternating,107,7,Mary brought a man something,Mary brought something to a man,something,5,shortIndefinite,175,58
FALSE,FALSE,alternating,108,8,Maria read the woman who was wearing the hat the book,Maria read the book to the woman who was wearing the hat,def,1,longDefinite,176,9
FALSE,FALSE,alternating,108,8,Bob read a man from work the book,Bob read the book to a man from work,def,1,longIndefinite,177,59
FALSE,FALSE,alternating,108,8,Michael read her the book,Michael read the book to her,def,1,pronoun,178,10
FALSE,FALSE,alternating,108,8,John read the man the book,John read the book to the man,def,1,shortDefinite,179,60
FALSE,FALSE,alternating,108,8,Maria read a man the book,Maria read the book to a man,def,1,shortIndefinite,180,11
FALSE,FALSE,alternating,108,8,Michael read the man who was wearing the hat the article,Michael read the article to the man who was wearing the hat,def,2,longDefinite,181,62
FALSE,FALSE,alternating,108,8,Mary read a man wearing a hat the article,Mary read the article to a man wearing a hat,def,2,longIndefinite,182,12
FALSE,FALSE,alternating,108,8,Michael read her the article,Michael read the article to her,def,2,pronoun,183,63
FALSE,FALSE,alternating,108,8,Alice read the woman the article,Alice read the article to the woman,def,2,shortDefinite,184,14
FALSE,FALSE,alternating,108,8,Maria read a man the article,Maria read the article to a man,def,2,shortIndefinite,185,64
FALSE,FALSE,alternating,108,8,Maria read the man wearing the hat a story,Maria read a story to the man wearing the hat,indef,3,longDefinite,186,15
FALSE,FALSE,alternating,108,8,Bob read a woman wearing a hat a story,Bob read a story to a woman wearing a hat,indef,3,longIndefinite,187,65
FALSE,FALSE,alternating,108,8,Mary read him a story,Mary read a story to him,indef,3,pronoun,188,16
FALSE,FALSE,alternating,108,8,John read the woman a story,John read a story to the woman,indef,3,shortDefinite,189,67
FALSE,FALSE,alternating,108,8,Alice read a man a story,Alice read a story to a man,indef,3,shortIndefinite,190,17
FALSE,FALSE,alternating,108,8,Juan read the woman from work a note,Juan read a note to the woman from work,indef,4,longDefinite,191,68
FALSE,FALSE,alternating,108,8,Michael read a man who was from work a note,Michael read a note to a man who was from work,indef,4,longIndefinite,192,19
FALSE,FALSE,alternating,108,8,Alice read him a note,Alice read a note to him,indef,4,pronoun,193,69
FALSE,FALSE,alternating,108,8,Michael read the man a note,Michael read a note to the man,indef,4,shortDefinite,194,20
FALSE,FALSE,alternating,108,8,Mary read a woman a note,Mary read a note to a woman,indef,4,shortIndefinite,195,70
FALSE,FALSE,alternating,108,8,John read the woman who was from work something,John read something to the woman who was from work,something,5,longDefinite,196,21
FALSE,FALSE,alternating,108,8,Alice read a man who was from work something,Alice read something to a man who was from work,something,5,longIndefinite,197,72
FALSE,FALSE,alternating,108,8,John read her something,John read something to her,something,5,pronoun,198,22
FALSE,FALSE,alternating,108,8,Maria read the woman something,Maria read something to the woman,something,5,shortDefinite,199,73
FALSE,FALSE,alternating,108,8,Maria read a man something,Maria read something to a man,something,5,shortIndefinite,200,24
FALSE,FALSE,alternating,109,9,Michael paid the man who was wearing the hat the money,Michael paid the money to the man who was wearing the hat,def,1,longDefinite,201,74
FALSE,FALSE,alternating,109,9,Bob paid a man who was from work the money,Bob paid the money to a man who was from work,def,1,longIndefinite,202,25
FALSE,FALSE,alternating,109,9,Mary paid him the money,Mary paid the money to him,def,1,pronoun,203,75
FALSE,FALSE,alternating,109,9,Bob paid the man the money,Bob paid the money to the man,def,1,shortDefinite,204,26
FALSE,FALSE,alternating,109,9,Bob paid a man the money,Bob paid the money to a man,def,1,shortIndefinite,205,77
FALSE,FALSE,alternating,109,9,John paid the man wearing the hat the fee,John paid the fee to the man wearing the hat,def,2,longDefinite,206,27
FALSE,FALSE,alternating,109,9,Alice paid a woman who was wearing a hat the fee,Alice paid the fee to a woman who was wearing a hat,def,2,longIndefinite,207,78
FALSE,FALSE,alternating,109,9,Alice paid him the fee,Alice paid the fee to him,def,2,pronoun,208,28
FALSE,FALSE,alternating,109,9,Alice paid the woman the fee,Alice paid the fee to the woman,def,2,shortDefinite,209,79
FALSE,FALSE,alternating,109,9,Juan paid a man the fee,Juan paid the fee to a man,def,2,shortIndefinite,210,30
FALSE,FALSE,alternating,109,9,Michael paid the man who was wearing the hat a compliment,Michael paid a compliment to the man who was wearing the hat,indef,3,longDefinite,211,80
FALSE,FALSE,alternating,109,9,John paid a man wearing a hat a compliment,John paid a compliment to a man wearing a hat,indef,3,longIndefinite,212,31
FALSE,FALSE,alternating,109,9,Linda paid him a compliment,Linda paid a compliment to him,indef,3,pronoun,213,82
FALSE,FALSE,alternating,109,9,Juan paid the man a compliment,Juan paid a compliment to the man,indef,3,shortDefinite,214,32
FALSE,FALSE,alternating,109,9,Mary paid a woman a compliment,Mary paid a compliment to a woman,indef,3,shortIndefinite,215,83
FALSE,FALSE,alternating,109,9,Michael paid the woman wearing the hat a visit,Michael paid a visit to the woman wearing the hat,indef,4,longDefinite,216,33
FALSE,FALSE,alternating,109,9,John paid a woman who was from work a visit,John paid a visit to a woman who was from work,indef,4,longIndefinite,217,84
FALSE,FALSE,alternating,109,9,Linda paid him a visit,Linda paid a visit to him,indef,4,pronoun,218,35
FALSE,FALSE,alternating,109,9,Mary paid the man a visit,Mary paid a visit to the man,indef,4,shortDefinite,219,85
FALSE,FALSE,alternating,109,9,John paid a man a visit,John paid a visit to a man,indef,4,shortIndefinite,220,36
FALSE,FALSE,alternating,109,9,Juan paid the man wearing the hat something,Juan paid something to the man wearing the hat,something,5,longDefinite,221,87
FALSE,FALSE,alternating,109,9,Bob paid a woman wearing a hat something,Bob paid something to a woman wearing a hat,something,5,longIndefinite,222,37
FALSE,FALSE,alternating,109,9,Michael paid her something,Michael paid something to her,something,5,pronoun,223,88
FALSE,FALSE,alternating,109,9,John paid the man something,John paid something to the man,something,5,shortDefinite,224,38
FALSE,FALSE,alternating,109,9,Linda paid a woman something,Linda paid something to a woman,something,5,shortIndefinite,225,89
FALSE,FALSE,alternating,110,10,Juan sent the woman who was wearing the hat the letter,Juan sent the letter to the woman who was wearing the hat,def,1,longDefinite,226,40
FALSE,FALSE,alternating,110,10,Maria sent a woman who was from work the letter,Maria sent the letter to a woman who was from work,def,1,longIndefinite,227,90
FALSE,FALSE,alternating,110,10,Mary sent him the letter,Mary sent the letter to him,def,1,pronoun,228,41
FALSE,FALSE,alternating,110,10,Alice sent the woman the letter,Alice sent the letter to the woman,def,1,shortDefinite,229,91
FALSE,FALSE,alternating,110,10,Michael sent a man the letter,Michael sent the letter to a man,def,1,shortIndefinite,230,42
FALSE,FALSE,alternating,110,10,Maria sent the woman who was from work the present,Maria sent the present to the woman who was from work,def,2,longDefinite,231,93
FALSE,FALSE,alternating,110,10,Maria sent a woman who was wearing a hat the present,Maria sent the present to a woman who was wearing a hat,def,2,longIndefinite,232,43
FALSE,FALSE,alternating,110,10,Alice sent him the present,Alice sent the present to him,def,2,pronoun,233,94
FALSE,FALSE,alternating,110,10,Linda sent the man the present,Linda sent the present to the man,def,2,shortDefinite,234,45
FALSE,FALSE,alternating,110,10,Michael sent a man the present,Michael sent the present to a man,def,2,shortIndefinite,235,95
FALSE,FALSE,alternating,110,10,John sent the woman who was wearing the hat a text,John sent a text to the woman who was wearing the hat,indef,3,longDefinite,236,46
FALSE,FALSE,alternating,110,10,Juan sent a man wearing a hat a text,Juan sent a text to a man wearing a hat,indef,3,longIndefinite,237,96
FALSE,FALSE,alternating,110,10,Alice sent him a text,Alice sent a text to him,indef,3,pronoun,238,47
