takes_female,plural,classification,verb_id,frequency_rank,DOsentence,PDsentence,theme_type,theme_id,recipient_id,i,trial_set,DO_prob,PD_prob,ratio,BehavDOpreference,ngram_ratio,LSTM_ratio,GPT2_ratio,XLNet_ratio,GPT2_large_ratio,LSTM_ratio_new
FALSE,FALSE,alternating,102,2,Michael told the man the news,Michael told the news to the man,def,1,shortDefinite,29,67,-13.252909115864895,-17.996349216555245,4.74344010069035,62.22222222222222,-1.2372703552246094,3.328869342803955,5.0313498973846436,1.7024577856063843,4.311489462852478,0.47821104526519775
FALSE,FALSE,alternating,102,2,Linda told a woman the news,Linda told the news to a woman,def,1,shortIndefinite,30,18,-27.23911852412857,-27.66356694023125,0.4244484161026776,41.111111111111114,-2.3505687713623047,4.150910139083862,2.5482847690582275,0.4783916473388672,4.3754167556762695,-1.7674667835235596
FALSE,FALSE,alternating,102,2,Linda told the woman wearing the hat the tale,Linda told the tale to the woman wearing the hat,def,2,longDefinite,31,69,-29.11710881840554,-27.514091383229243,-1.603017435176298,36.75,-0.868133544921875,1.9238544702529907,-2.2590578198432922,-7.385489344596863,-2.9140284061431885,-7.140396237373352
FALSE,FALSE,alternating,102,2,Maria told a woman who was wearing a hat the tale,Maria told the tale to a woman who was wearing a hat,def,2,longIndefinite,32,19,-23.51741875964217,-21.319711107295007,-2.1977076523471624,34.888888888888886,-3.046733856201172,-5.760594367980957,-5.036503344774246,1.7799737453460693,-1.967191457748413,-11.611193239688873
FALSE,FALSE,alternating,102,2,Maria told him the tale,Maria told the tale to him,def,2,pronoun,33,70,-15.650540809729137,-15.835503685171716,0.1849628754425794,63.0,2.32147216796875,6.710491180419922,3.2880061864852905,8.624258279800415,5.263426661491394,1.974677562713623
FALSE,FALSE,alternating,102,2,Linda told the man the tale,Linda told the tale to the man,def,2,shortDefinite,34,21,-18.64316394389607,-19.921442649618257,1.2782787057221867,72.2,0.4753589630126953,4.886373996734619,0.4465622901916504,3.931364595890045,-0.4907197952270508,0.5577728748321533
FALSE,FALSE,alternating,102,2,John told a man the tale,John told the tale to a man,def,2,shortIndefinite,35,71,-25.918655483983457,-20.029273645952344,-5.889381838031113,54.72727272727273,-0.9415416717529297,1.3546767234802246,-2.96656596660614,0.4893670082092285,-0.2146899700164795,-3.202966094017029
FALSE,FALSE,alternating,102,2,Linda told the man who was wearing the hat a story,Linda told a story to the man who was wearing the hat,indef,3,longDefinite,36,22,-22.70285707176663,-23.946244145627134,1.2433870738605037,39.63636363636363,-3.2193374633789062,-2.8657931089401245,-2.4201489686965942,-17.126054883003235,-2.9094300270080566,-9.484336018562317
FALSE,FALSE,alternating,102,2,Alice told a woman from work a story,Alice told a story to a woman from work,indef,3,longIndefinite,37,72,-25.935020602308214,-32.900045707356185,6.965025105047971,46.36363636363637,-3.673280715942383,1.7946226596832275,-2.0701537132263184,10.169921398162842,-2.484606981277466,-5.2768800258636475
FALSE,FALSE,alternating,102,2,Linda told him a story,Linda told a story to him,indef,3,pronoun,38,23,-15.507660429226235,-18.497164071071893,2.9895036418456584,60.42857142857143,0.7979297637939453,4.16909384727478,5.843043088912964,6.195489048957825,4.476612091064453,1.553658366203308
FALSE,FALSE,alternating,102,2,Linda told the woman a story,Linda told a story to the woman,indef,3,shortDefinite,39,74,-12.797696520923637,-21.78152364725247,8.983827126328833,69.46153846153847,-1.7480812072753906,0.4745159149169922,3.286275625228882,3.882960081100464,0.8193148374557495,0.27321290969848633
FALSE,FALSE,alternating,102,2,Alice told a woman a story,Alice told a story to a woman,indef,3,shortIndefinite,40,24,-23.202182667329907,-26.009184970520437,2.8070023031905293,47.9,-3.1043624877929688,-0.1686570644378662,2.0998241901397705,12.225666493177414,0.4590870141983032,-2.492340564727783
FALSE,FALSE,alternating,102,2,Alice told the man wearing the hat some information,Alice told some information to the man wearing the hat,indef,4,longDefinite,41,75,-36.325727774819825,-39.9020564534876,3.576328678667778,56.333333333333336,0.4756813049316406,2.0942087173461914,-0.23295271396636963,3.127492666244507,-1.0382980108261108,-1.88297700881958
FALSE,FALSE,alternating,102,2,Michael told a woman who was from work some information,Michael told some information to a woman who was from work,indef,4,longIndefinite,42,26,-41.543975893524475,-43.31950413319282,1.775528239668347,44.55555555555556,-0.05040740966796875,3.0780197381973267,-3.196351706981659,5.419934272766113,-3.4088659286499023,-2.69038987159729
FALSE,FALSE,alternating,102,2,Alice told him some information,Alice told some information to him,indef,4,pronoun,43,76,-24.01347902766429,-30.01882290560752,6.005343877943233,90.9,3.5634498596191406,3.0054616928100586,5.947380304336548,3.232471466064453,3.406990170478821,4.4692007303237915
FALSE,FALSE,alternating,102,2,Maria told the man some information,Maria told some information to the man,indef,4,shortDefinite,44,27,-25.210795668885112,-29.412825937615708,4.202030268730596,61.285714285714285,1.2386493682861328,1.9005804061889648,3.7782105207443237,3.3661270141601562,-0.46953070163726807,2.618625521659851
FALSE,FALSE,alternating,102,2,Juan told a man some information,Juan told some information to a man,indef,4,shortIndefinite,45,77,-32.87844494683668,-34.28758966131136,1.409144714474678,64.5,0.7315559387207031,1.120011806488037,0.8277742862701416,4.200575113296509,0.03463578224182129,1.9797918796539307
FALSE,FALSE,alternating,102,2,Juan told the man who was from work something,Juan told something to the man who was from work,something,5,longDefinite,46,28,-51.03274369938299,-41.11533354886342,-9.917410150519572,44.333333333333336,1.5400733947753906,2.2113163471221924,-3.2906110286712646,-5.682978391647339,-2.7180510759353638,-1.395382046699524
FALSE,FALSE,alternating,102,2,Juan told a man from work something,Juan told something to a man from work,something,5,longIndefinite,47,79,-45.23744552698918,-35.93950402876362,-9.297941498225555,64.63636363636364,2.2951698303222656,3.2888808250427246,-3.859754800796509,4.079962730407715,-2.9973533153533936,-2.6328095197677612
FALSE,FALSE,alternating,102,2,Michael told her something,Michael told something to her,something,5,pronoun,48,29,-16.23935310379602,-26.07676389766857,9.83741079387255,96.7,1.753683090209961,1.697502851486206,3.203636407852173,0.5534956455230713,3.65208101272583,2.4310336112976074
FALSE,FALSE,alternating,102,2,Michael told the man something,Michael told something to the man,something,5,shortDefinite,49,80,-14.760542311356403,-24.92405826842878,10.163515957072377,80.5,1.5929737091064453,5.716350555419922,0.2947005033493042,-1.320278525352478,1.2864478826522827,1.115678071975708
FALSE,FALSE,alternating,102,2,Maria told a man something,Maria told something to a man,something,5,shortIndefinite,50,31,-25.873153707943857,-30.378253816161305,4.505100108217448,52.888888888888886,1.5165081024169922,2.4040653705596924,-3.220699667930603,1.3135229349136353,-2.5696136951446533,1.26481294631958
FALSE,FALSE,alternating,103,3,Linda gave the man from work the book,Linda gave the book to the man from work,def,1,longDefinite,51,81,-32.085239910753444,-27.040449476335198,-5.044790434418246,32.416666666666664,-0.9768581390380859,1.7313201427459717,-1.1902902126312256,4.222421407699585,-3.166927754878998,0.7714780569076538
FALSE,FALSE,alternating,103,3,Alice gave a woman wearing a hat the book,Alice gave the book to a woman wearing a hat,def,1,longIndefinite,52,32,-29.574181649601087,-23.511897702526767,-6.06228394707432,33.4,-2.207763671875,-8.83530855178833,-5.326875448226929,5.1885786056518555,-3.321372836828232,-9.024097621440887
FALSE,FALSE,alternating,103,3,Juan gave her the book,Juan gave the book to her,def,1,pronoun,53,82,-21.97358151426306,-22.18380625086138,0.2102247365983203,64.0,0.21342086791992188,3.296334981918335,2.3499412536621094,5.987276554107666,2.538423478603363,1.446684718132019
FALSE,FALSE,alternating,103,3,Bob gave the woman the book,Bob gave the book to the woman,def,1,shortDefinite,54,33,-19.5551742236712,-20.022557875025086,0.4673836513538845,42.6,-0.8691272735595703,1.9630711078643799,1.534022569656372,4.49555230140686,-0.4693374037742615,-0.2250058650970459
FALSE,FALSE,alternating,103,3,Mary gave a woman the book,Mary gave the book to a woman,def,1,shortIndefinite,55,84,-32.50955876801163,-23.14136208256241,-9.36819668544922,26.0,-1.4951438903808594,-2.965890645980835,-0.013474881649017334,7.705169916152954,-1.075110137462616,-3.328505277633667
FALSE,FALSE,alternating,103,3,Linda gave the woman from work the job,Linda gave the job to the woman from work,def,2,longDefinite,56,34,-28.96835295855999,-28.234736419981346,-0.7336165385786444,41.69230769230769,-0.5457687377929688,2.1892117261886597,-1.111726999282837,0.4864732027053833,-2.224638044834137,-0.4109395742416382
FALSE,FALSE,alternating,103,3,Mary gave a woman who was from work the job,Mary gave the job to a woman who was from work,def,2,longIndefinite,57,85,-44.12613436207175,-34.27368989796378,-9.852444464107975,20.77777777777778,-0.5866737365722656,-2.483285665512085,-4.756538927555084,5.0278403759002686,-3.12785804271698,-6.538287401199341
FALSE,FALSE,alternating,103,3,Alice gave him the job,Alice gave the job to him,def,2,pronoun,58,35,-20.7847639801912,-21.419012405967806,0.6342484257766046,71.0,3.1939926147460938,4.040967702865601,4.019386172294617,-1.9051506519317627,3.5625225007534027,4.331174194812775
FALSE,FALSE,alternating,103,3,Mary gave the man the job,Mary gave the job to the man,def,2,shortDefinite,59,86,-16.352396902628243,-19.695660039549693,3.3432631369214505,65.66666666666667,0.4045829772949219,4.877809286117554,1.0052266716957092,9.789860874414444,2.9601961374282837,1.7368706464767456
FALSE,FALSE,alternating,103,3,Maria gave a woman the job,Maria gave the job to a woman,def,2,shortIndefinite,60,37,-26.71520039346069,-24.825714529957622,-1.8894858635030687,28.818181818181817,-1.233022689819336,-1.9251118898391724,-0.8882400989532471,7.111895799636841,-1.4651392102241516,-2.992820382118225
FALSE,FALSE,alternating,103,3,Mary gave the man who was wearing the hat a gift,Mary gave a gift to the man who was wearing the hat,indef,3,longDefinite,61,87,-23.24430198641494,-28.053141104988754,4.808839118573815,43.583333333333336,-2.8890457153320312,-3.980156183242798,-0.6926697492599487,-11.091694355010986,0.6695642471313477,-10.452235162258148
FALSE,FALSE,alternating,103,3,Alice gave a man who was from work a gift,Alice gave a gift to a man who was from work,indef,3,longIndefinite,62,38,-40.931823435705155,-40.60097199305892,-0.3308514426462352,30.666666666666668,-2.4091720581054688,-4.652959823608398,-0.30385512113571167,-7.1999547481536865,1.4969940185546875,-5.708772897720337
FALSE,FALSE,alternating,103,3,Alice gave him a gift,Alice gave a gift to him,indef,3,pronoun,63,89,-23.169232789892703,-30.73138017952442,7.562147389631718,74.5,2.867616653442383,4.8466033935546875,4.7432180643081665,1.1275415420532227,6.187306642532349,2.975564479827881
FALSE,FALSE,alternating,103,3,Juan gave the man a gift,Juan gave a gift to the man,indef,3,shortDefinite,64,39,-22.75949415168725,-31.687925377860665,8.928431226173416,62.5,-1.1781730651855469,2.2728992104530334,0.7621995806694031,1.249197244644165,3.8323001861572266,1.4847657084465027
FALSE,FALSE,alternating,103,3,Mary gave a man a gift,Mary gave a gift to a man,indef,3,shortIndefinite,65,90,-23.810126182623208,-25.750283168628812,1.9401569860056043,48.55555555555556,-0.5196552276611328,-0.9939254522323608,1.0793566703796387,8.327081829309464,4.938017249107361,0.24537694454193115
FALSE,FALSE,alternating,103,3,Alice gave the woman who was from work a message,Alice gave a message to the woman who was from work,indef,4,longDefinite,66,40,-30.867224167683162,-35.33211532863788,4.464891160954721,46.0,-1.1161613464355469,-5.612903714179993,-2.771877020597458,-18.348182916641235,-2.677095413208008,-6.646733999252319
FALSE,FALSE,alternating,103,3,Michael gave a man wearing a hat a message,Michael gave a message to a man wearing a hat,indef,4,longIndefinite,67,91,-26.657742343726568,-28.463262769859284,1.8055204261327162,30.9,-1.6208877563476562,-3.576772451400757,-2.8221047818660736,-8.711057662963867,-0.9071937501430511,-8.17071670293808
FALSE,FALSE,alternating,103,3,Juan gave her a message,Juan gave a message to her,indef,4,pronoun,68,42,-28.918623284669593,-30.473982804454863,1.55535951978527,75.27272727272727,1.5608673095703125,5.507248640060425,1.2544094324111938,1.8580670356750488,3.513583540916443,0.4757603406906128
FALSE,FALSE,alternating,103,3,John gave the man a message,John gave a message to the man,indef,4,shortDefinite,69,92,-19.538986901869066,-25.171433094190434,5.632446192321368,63.5,-1.4118232727050781,2.6222875118255615,0.2892633080482483,-0.8870675563812256,2.087252199649811,2.1362208127975464
FALSE,FALSE,alternating,103,3,Bob gave a woman a message,Bob gave a message to a woman,indef,4,shortIndefinite,70,43,-30.895900909556076,-29.182703881058842,-1.713197028497234,64.9,-0.7007484436035156,-1.0749084949493408,-0.18421506881713867,1.2470284700393677,0.35066139698028564,-0.0310896635055542
FALSE,FALSE,alternating,103,3,John gave the woman wearing the hat something,John gave something to the woman wearing the hat,something,5,longDefinite,71,94,-32.46707221894758,-38.8958577584126,6.428785539465025,12.0,2.0614147186279297,-1.7832049131393433,-5.490202724933624,-10.579267144203186,0.1430819034576416,-6.930055320262909
FALSE,FALSE,alternating,103,3,Maria gave a man who was wearing a hat something,Maria gave something to a man who was wearing a hat,something,5,longIndefinite,72,44,-33.21642899850849,-30.62823209085036,-2.58819690765813,21.857142857142858,0.9509735107421875,-4.365251302719116,-2.9144455790519714,-9.186428189277649,-0.33552464842796326,-9.162664115428925
FALSE,FALSE,alternating,103,3,Linda gave him something,Linda gave something to him,something,5,pronoun,73,95,-19.578477940056473,-29.753907062811777,10.175429122755304,58.142857142857146,4.0679473876953125,8.967177748680115,1.9184396266937256,6.004612922668457,3.4476293325424194,1.454576015472412
FALSE,FALSE,alternating,103,3,John gave the woman something,John gave something to the woman,something,5,shortDefinite,74,45,-20.178827431751415,-28.386122573399916,8.207295141648501,46.15384615384615,2.0614166259765625,2.7654035091400146,-1.8149967193603516,-0.4075160026550293,1.6954702138900757,-0.0009383559226989746
FALSE,FALSE,alternating,103,3,Maria gave a man something,Maria gave something to a man,something,5,shortIndefinite,75,96,-39.99659171421081,-30.73078684695065,-9.265804867260158,17.818181818181817,2.097837448120117,0.2175142765045166,-0.9298138618469238,2.74169921875,0.70289146900177,-0.037348926067352295
FALSE,FALSE,alternating,104,4,Linda asked the woman from work the question,Linda asked the question to the woman from work,def,1,longDefinite,76,47,-35.165725423779804,-24.98873280681437,-10.176992616965435,46.44444444444444,-1.5527820587158203,1.892005443572998,1.6357755661010742,8.623938798904419,0.8149466514587402,-1.484594702720642
FALSE,FALSE,alternating,104,4,Bob asked a man wearing a hat the question,Bob asked the question to a man wearing a hat,def,1,longIndefinite,77,97,-19.43752237013541,-17.925149520044215,-1.5123728500911966,42.2,-2.1173152923583984,-7.56952965259552,-3.977079063653946,6.9669106006622314,-2.7609391510486603,-10.51049667596817
FALSE,FALSE,alternating,104,4,Alice asked him the question,Alice asked the question to him,def,1,pronoun,78,48,-11.657688238075934,-15.258992880349979,3.6013046422740445,86.33333333333333,1.3425540924072266,5.410689830780029,5.616409659385681,-1.877805471420288,5.010396838188171,4.168332099914551
FALSE,FALSE,alternating,104,4,Mary asked the man the question,Mary asked the question to the man,def,1,shortDefinite,79,98,-11.513314911280759,-16.571458999067545,5.058144087786786,69.66666666666667,-0.49003028869628906,2.806100368499756,2.8509106636047363,8.266018092632294,3.356575131416321,3.696643590927124
FALSE,FALSE,alternating,104,4,Bob asked a man the question,Bob asked the question to a man,def,1,shortIndefinite,80,49,-22.221231997013092,-23.658753803698346,1.437521806685254,89.3076923076923,-0.9100284576416016,-1.034719705581665,0.22545170783996582,7.92330265045166,2.7530221939086914,-0.5351598262786865
FALSE,FALSE,alternating,104,4,Linda asked the man who was from work the questions,Linda asked the questions to the man who was from work,def,2,longDefinite,81,0,-46.16433503309963,-36.76573805033695,-9.398596982762683,43.333333333333336,-1.1245231628417969,-0.7524714469909668,-0.6880598068237305,-0.34900152683258057,1.2385728359222412,-2.9858046770095825
FALSE,FALSE,alternating,104,4,Maria asked a woman who was wearing a hat the questions,Maria asked the questions to a woman who was wearing a hat,def,2,longIndefinite,82,50,-23.947659917816054,-21.679032950662076,-2.2686269671539776,45.666666666666664,-3.2226486206054688,-5.014971375465393,-2.712066888809204,-0.02494668960571289,1.168691635131836,-9.295546650886536
FALSE,FALSE,alternating,104,4,Mary asked him the questions,Mary asked the questions to him,def,2,pronoun,83,1,-15.258714709663764,-18.810806569410488,3.5520918597467244,83.0,0.8733139038085938,5.116072416305542,4.008795499801636,-6.15403413772583,5.150786638259888,2.6894383430480957
FALSE,FALSE,alternating,104,4,Linda asked the man the questions,Linda asked the questions to the man,def,2,shortDefinite,84,52,-18.895835959119722,-24.36002934188582,5.464193382766098,89.38461538461539,-0.1380176544189453,3.641221284866333,1.542304515838623,-0.4206552952528,4.483047246932983,1.9631118774414062
FALSE,FALSE,alternating,104,4,Bob asked a woman the questions,Bob asked the questions to a woman,def,2,shortIndefinite,85,2,-32.25396053830627,-26.50666919257492,-5.747291345731355,61.90909090909091,-1.9666633605957031,0.20395994186401367,1.465959072113037,5.554597854614258,5.4608283042907715,-1.8105347156524658
FALSE,FALSE,alternating,104,4,Mary asked the man who was wearing the hat a question,Mary asked a question to the man who was wearing the hat,indef,3,longDefinite,86,53,-16.6377379403566,-17.260914094978943,0.6231761546223424,60.15384615384615,-3.0551795959472656,-0.17115139961242676,1.2459172010421753,-15.643710374832153,-0.41075074672698975,-5.748470783233643
FALSE,FALSE,alternating,104,4,Michael asked a woman who was wearing a hat a question,Michael asked a question to a woman who was wearing a hat,indef,3,longIndefinite,87,3,-23.665217554400442,-16.916713646962307,-6.748503907438135,44.142857142857146,-3.7592926025390625,-3.698207378387451,-2.7254835069179535,-7.900766581296921,-2.307521402835846,-6.364402174949646
FALSE,FALSE,alternating,104,4,Juan asked her a question,Juan asked a question to her,indef,3,pronoun,88,54,-15.4239262904739,-18.694589816732332,3.2706635262584314,96.5,-1.3454227447509766,6.924980044364929,3.8488051891326904,10.162145853042603,5.0747190117836,3.952284336090088
FALSE,FALSE,alternating,104,4,Maria asked the man a question,Maria asked a question to the man,indef,3,shortDefinite,89,5,-12.9817425365909,-17.258425920503214,4.276683383912314,82.0,-1.3443126678466797,3.2969563007354736,1.890678882598877,3.3885501623153687,2.5256893038749695,3.6354246139526367
FALSE,FALSE,alternating,104,4,Juan asked a woman a question,Juan asked a question to a woman,indef,3,shortIndefinite,90,55,-22.204879045370035,-20.917212263680995,-1.2876667816890404,93.23076923076923,-2.2573299407958984,2.1106812953948975,1.5630273222923279,10.561234414577484,2.3985829651355743,2.6021218299865723
FALSE,FALSE,alternating,104,4,Michael asked the man from work some questions,Michael asked some questions to the man from work,indef,4,longDefinite,91,6,-25.131382277584635,-20.329236161662266,-4.802146115922369,81.88888888888889,-0.43366050720214844,-4.294562935829163,4.140834182500839,4.066094160079956,0.7894119918346405,-5.169356346130371
FALSE,FALSE,alternating,104,4,Bob asked a man who was from work some questions,Bob asked some questions to a man who was from work,indef,4,longIndefinite,92,57,-39.80604974657763,-30.260393324657343,-9.545656421920285,32.111111111111114,-1.9750518798828125,-3.076682209968567,1.8292742371559143,10.250520706176758,-0.16983091831207275,-6.082849502563477
FALSE,FALSE,alternating,104,4,Maria asked him some questions,Maria asked some questions to him,indef,4,pronoun,93,7,-14.814278112491593,-17.695420363219455,2.881142250727862,96.8,0.5249195098876953,5.748684763908386,6.07260799407959,-1.7304162979125977,4.04829728603363,4.350646018981934
FALSE,FALSE,alternating,104,4,Linda asked the man some questions,Linda asked some questions to the man,indef,4,shortDefinite,94,58,-16.672365213860758,-21.922663228819147,5.250298014958389,81.4,-0.4230518341064453,3.3277649879455566,3.351809859275818,-6.233088970184326,1.7034258991479874,2.653760552406311
