takes_female,plural,classification,verb_id,frequency_rank,DOsentence,PDsentence,theme_type,theme_id,recipient_id,i,trial_set,DO_prob,PD_prob,ratio
FALSE,FALSE,alternating,102,2,Linda told the man the tale,Linda told the tale to the man,def,2,shortDefinite,34,21,-18.64316394389607,-19.921442649618257,1.2782787057221867
FALSE,FALSE,alternating,102,2,John told a man the tale,John told the tale to a man,def,2,shortIndefinite,35,71,-25.918655483983457,-20.029273645952344,-5.889381838031113
FALSE,FALSE,alternating,102,2,Linda told the man who was wearing the hat a story,Linda told a story to the man who was wearing the hat,indef,3,longDefinite,36,22,-22.70285707176663,-23.946244145627134,1.2433870738605037
FALSE,FALSE,alternating,102,2,Alice told a woman from work a story,Alice told a story to a woman from work,indef,3,longIndefinite,37,72,-25.935020602308214,-32.900045707356185,6.965025105047971
FALSE,FALSE,alternating,102,2,Linda told him a story,Linda told a story to him,indef,3,pronoun,38,23,-15.507660429226235,-18.497164071071893,2.9895036418456584
FALSE,FALSE,alternating,102,2,Linda told the woman a story,Linda told a story to the woman,indef,3,shortDefinite,39,74,-12.797696520923637,-21.78152364725247,8.983827126328833
FALSE,FALSE,alternating,102,2,Alice told a woman a story,Alice told a story to a woman,indef,3,shortIndefinite,40,24,-23.202182667329907,-26.009184970520437,2.8070023031905293
FALSE,FALSE,alternating,102,2,Alice told the man wearing the hat some information,Alice told some information to the man wearing the hat,indef,4,longDefinite,41,75,-36.325727774819825,-39.9020564534876,3.576328678667778
FALSE,FALSE,alternating,102,2,Michael told a woman who was from work some information,Michael told some information to a woman who was from work,indef,4,longIndefinite,42,26,-41.543975893524475,-43.31950413319282,1.775528239668347
FALSE,FALSE,alternating,102,2,Alice told him some information,Alice told some information to him,indef,4,pronoun,43,76,-24.01347902766429,-30.01882290560752,6.005343877943233
FALSE,FALSE,alternating,102,2,Maria told the man some information,Maria told some information to the man,indef,4,shortDefinite,44,27,-25.210795668885112,-29.412825937615708,4.202030268730596
FALSE,FALSE,alternating,102,2,Juan told a man some information,Juan told some information to a man,indef,4,shortIndefinite,45,77,-32.87844494683668,-34.28758966131136,1.409144714474678
FALSE,FALSE,alternating,102,2,Juan told the man who was from work something,Juan told something to the man who was from work,something,5,longDefinite,46,28,-51.03274369938299,-41.11533354886342,-9.917410150519572
FALSE,FALSE,alternating,102,2,Juan told a man from work something,Juan told something to a man from work,something,5,longIndefinite,47,79,-45.23744552698918,-35.93950402876362,-9.297941498225555
FALSE,FALSE,alternating,102,2,Michael told her something,Michael told something to her,something,5,pronoun,48,29,-16.23935310379602,-26.07676389766857,9.83741079387255
FALSE,FALSE,alternating,102,2,Michael told the man something,Michael told something to the man,something,5,shortDefinite,49,80,-14.760542311356403,-24.92405826842878,10.163515957072377
FALSE,FALSE,alternating,102,2,Maria told a man something,Maria told something to a man,something,5,shortIndefinite,50,31,-25.873153707943857,-30.378253816161305,4.505100108217448
FALSE,FALSE,alternating,103,3,Linda gave the man from work the book,Linda gave the book to the man from work,def,1,longDefinite,51,81,-32.085239910753444,-27.040449476335198,-5.044790434418246
FALSE,FALSE,alternating,103,3,Alice gave a woman wearing a hat the book,Alice gave the book to a woman wearing a hat,def,1,longIndefinite,52,32,-29.574181649601087,-23.511897702526767,-6.06228394707432
FALSE,FALSE,alternating,103,3,Juan gave her the book,Juan gave the book to her,def,1,pronoun,53,82,-21.97358151426306,-22.18380625086138,0.2102247365983203
FALSE,FALSE,alternating,103,3,Bob gave the woman the book,Bob gave the book to the woman,def,1,shortDefinite,54,33,-19.5551742236712,-20.022557875025086,0.4673836513538845
FALSE,FALSE,alternating,103,3,Mary gave a woman the book,Mary gave the book to a woman,def,1,shortIndefinite,55,84,-32.50955876801163,-23.14136208256241,-9.36819668544922
FALSE,FALSE,alternating,103,3,Linda gave the woman from work the job,Linda gave the job to the woman from work,def,2,longDefinite,56,34,-28.96835295855999,-28.234736419981346,-0.7336165385786444
FALSE,FALSE,alternating,103,3,Mary gave a woman who was from work the job,Mary gave the job to a woman who was from work,def,2,longIndefinite,57,85,-44.12613436207175,-34.27368989796378,-9.852444464107975
FALSE,FALSE,alternating,103,3,Alice gave him the job,Alice gave the job to him,def,2,pronoun,58,35,-20.7847639801912,-21.419012405967806,0.6342484257766046
FALSE,FALSE,alternating,103,3,Mary gave the man the job,Mary gave the job to the man,def,2,shortDefinite,59,86,-16.352396902628243,-19.695660039549693,3.3432631369214505
FALSE,FALSE,alternating,103,3,Maria gave a woman the job,Maria gave the job to a woman,def,2,shortIndefinite,60,37,-26.71520039346069,-24.825714529957622,-1.8894858635030687
FALSE,FALSE,alternating,103,3,Mary gave the man who was wearing the hat a gift,Mary gave a gift to the man who was wearing the hat,indef,3,longDefinite,61,87,-23.24430198641494,-28.053141104988754,4.808839118573815
FALSE,FALSE,alternating,103,3,Alice gave a man who was from work a gift,Alice gave a gift to a man who was from work,indef,3,longIndefinite,62,38,-40.931823435705155,-40.60097199305892,-0.3308514426462352
FALSE,FALSE,alternating,103,3,Alice gave him a gift,Alice gave a gift to him,indef,3,pronoun,63,89,-23.169232789892703,-30.73138017952442,7.562147389631718
FALSE,FALSE,alternating,103,3,Juan gave the man a gift,Juan gave a gift to the man,indef,3,shortDefinite,64,39,-22.75949415168725,-31.687925377860665,8.928431226173416
FALSE,FALSE,alternating,103,3,Mary gave a man a gift,Mary gave a gift to a man,indef,3,shortIndefinite,65,90,-23.810126182623208,-25.750283168628812,1.9401569860056043
FALSE,FALSE,alternating,103,3,Alice gave the woman who was from work a message,Alice gave a message to the woman who was from work,indef,4,longDefinite,66,40,-30.867224167683162,-35.33211532863788,4.464891160954721
FALSE,FALSE,alternating,103,3,Michael gave a man wearing a hat a message,Michael gave a message to a man wearing a hat,indef,4,longIndefinite,67,91,-26.657742343726568,-28.463262769859284,1.8055204261327162
FALSE,FALSE,alternating,103,3,Juan gave her a message,Juan gave a message to her,indef,4,pronoun,68,42,-28.918623284669593,-30.473982804454863,1.55535951978527
FALSE,FALSE,alternating,103,3,John gave the man a message,John gave a message to the man,indef,4,shortDefinite,69,92,-19.538986901869066,-25.171433094190434,5.632446192321368
FALSE,FALSE,alternating,103,3,Bob gave a woman a message,Bob gave a message to a woman,indef,4,shortIndefinite,70,43,-30.895900909556076,-29.182703881058842,-1.713197028497234
FALSE,FALSE,alternating,103,3,John gave the woman wearing the hat something,John gave something to the woman wearing the hat,something,5,longDefinite,71,94,-32.46707221894758,-38.8958577584126,6.428785539465025
FALSE,FALSE,alternating,103,3,Maria gave a man who was wearing a hat something,Maria gave something to a man who was wearing a hat,something,5,longIndefinite,72,44,-33.21642899850849,-30.62823209085036,-2.58819690765813
FALSE,FALSE,alternating,103,3,Linda gave him something,Linda gave something to him,something,5,pronoun,73,95,-19.578477940056473,-29.753907062811777,10.175429122755304
FALSE,FALSE,alternating,103,3,John gave the woman something,John gave something to the woman,something,5,shortDefinite,74,45,-20.178827431751415,-28.386122573399916,8.207295141648501
FALSE,FALSE,alternating,103,3,Maria gave a man something,Maria gave something to a man,something,5,shortIndefinite,75,96,-39.99659171421081,-30.73078684695065,-9.265804867260158
FALSE,FALSE,alternating,104,4,Linda asked the woman from work the question,Linda asked the question to the woman from work,def,1,longDefinite,76,47,-35.165725423779804,-24.98873280681437,-10.176992616965435
FALSE,FALSE,alternating,104,4,Bob asked a man wearing a hat the question,Bob asked the question to a man wearing a hat,def,1,longIndefinite,77,97,-19.43752237013541,-17.925149520044215,-1.5123728500911966
FALSE,FALSE,alternating,104,4,Alice asked him the question,Alice asked the question to him,def,1,pronoun,78,48,-11.657688238075934,-15.258992880349979,3.6013046422740445
FALSE,FALSE,alternating,104,4,Mary asked the man the question,Mary asked the question to the man,def,1,shortDefinite,79,98,-11.513314911280759,-16.571458999067545,5.058144087786786
FALSE,FALSE,alternating,104,4,Bob asked a man the question,Bob asked the question to a man,def,1,shortIndefinite,80,49,-22.221231997013092,-23.658753803698346,1.437521806685254
FALSE,FALSE,alternating,104,4,Linda asked the man who was from work the questions,Linda asked the questions to the man who was from work,def,2,longDefinite,81,0,-46.16433503309963,-36.76573805033695,-9.398596982762683
FALSE,FALSE,alternating,104,4,Maria asked a woman who was wearing a hat the questions,Maria asked the questions to a woman who was wearing a hat,def,2,longIndefinite,82,50,-23.947659917816054,-21.679032950662076,-2.2686269671539776
FALSE,FALSE,alternating,104,4,Mary asked him the questions,Mary asked the questions to him,def,2,pronoun,83,1,-15.258714709663764,-18.810806569410488,3.5520918597467244
FALSE,FALSE,alternating,104,4,Linda asked the man the questions,Linda asked the questions to the man,def,2,shortDefinite,84,52,-18.895835959119722,-24.36002934188582,5.464193382766098
FALSE,FALSE,alternating,104,4,Bob asked a woman the questions,Bob asked the questions to a woman,def,2,shortIndefinite,85,2,-32.25396053830627,-26.50666919257492,-5.747291345731355
FALSE,FALSE,alternating,104,4,Mary asked the man who was wearing the hat a question,Mary asked a question to the man who was wearing the hat,indef,3,longDefinite,86,53,-16.6377379403566,-17.260914094978943,0.6231761546223424
FALSE,FALSE,alternating,104,4,Michael asked a woman who was wearing a hat a question,Michael asked a question to a woman who was wearing a hat,indef,3,longIndefinite,87,3,-23.665217554400442,-16.916713646962307,-6.748503907438135
FALSE,FALSE,alternating,104,4,Juan asked her a question,Juan asked a question to her,indef,3,pronoun,88,54,-15.4239262904739,-18.694589816732332,3.2706635262584314
FALSE,FALSE,alternating,104,4,Maria asked the man a question,Maria asked a question to the man,indef,3,shortDefinite,89,5,-12.9817425365909,-17.258425920503214,4.276683383912314
FALSE,FALSE,alternating,104,4,Juan asked a woman a question,Juan asked a question to a woman,indef,3,shortIndefinite,90,55,-22.204879045370035,-20.917212263680995,-1.2876667816890404
FALSE,FALSE,alternating,104,4,Michael asked the man from work some questions,Michael asked some questions to the man from work,indef,4,longDefinite,91,6,-25.131382277584635,-20.329236161662266,-4.802146115922369
FALSE,FALSE,alternating,104,4,Bob asked a man who was from work some questions,Bob asked some questions to a man who was from work,indef,4,longIndefinite,92,57,-39.80604974657763,-30.260393324657343,-9.545656421920285
FALSE,FALSE,alternating,104,4,Maria asked him some questions,Maria asked some questions to him,indef,4,pronoun,93,7,-14.814278112491593,-17.695420363219455,2.881142250727862
FALSE,FALSE,alternating,104,4,Linda asked the man some questions,Linda asked some questions to the man,indef,4,shortDefinite,94,58,-16.672365213860758,-21.922663228819147,5.250298014958389
FALSE,FALSE,alternating,104,4,Bob asked a man some questions,Bob asked some questions to a man,indef,4,shortIndefinite,95,8,-22.75779487239197,-26.304382211063057,3.546587338671088
FALSE,FALSE,alternating,104,4,Linda asked the woman from work something,Linda asked something to the woman from work,something,5,longDefinite,96,59,-49.53299891971983,-39.16273094684584,-10.37026797287399
FALSE,FALSE,alternating,104,4,Juan asked a man wearing a hat something,Juan asked something to a man wearing a hat,something,5,longIndefinite,97,10,-38.46465996163897,-32.97695074736839,-5.487709214270581
FALSE,FALSE,alternating,104,4,Bob asked her something,Bob asked something to her,something,5,pronoun,98,60,-22.179842913756147,-29.468728282372467,7.28888536861632
FALSE,FALSE,alternating,104,4,Maria asked the man something,Maria asked something to the man,something,5,shortDefinite,99,11,-22.42692948936019,-30.215375321451575,7.788445832091384
FALSE,FALSE,alternating,104,4,John asked a man something,John asked something to a man,something,5,shortIndefinite,100,62,-37.27796423039399,-34.178206273005344,-3.099757957388647
FALSE,FALSE,alternating,105,5,Alice showed the woman who was from work the city,Alice showed the city to the woman who was from work,def,1,longDefinite,101,12,-57.117872157134116,-40.10028289130423,-17.017589265829884
FALSE,FALSE,alternating,105,5,Bob showed a woman who was wearing a hat the city,Bob showed the city to a woman who was wearing a hat,def,1,longIndefinite,102,63,-38.149627175647765,-26.519153050379828,-11.630474125267938
FALSE,FALSE,alternating,105,5,Juan showed her the city,Juan showed the city to her,def,1,pronoun,103,13,-23.59399558592122,-27.23530852922704,3.6413129433058202
FALSE,FALSE,alternating,105,5,John showed the woman the city,John showed the city to the woman,def,1,shortDefinite,104,64,-23.151359115727246,-26.163670983049087,3.0123118673218414
FALSE,FALSE,alternating,105,5,John showed a woman the city,John showed the city to a woman,def,1,shortIndefinite,105,15,-33.244103379314765,-29.361306827166118,-3.8827965521486476
FALSE,FALSE,alternating,105,5,Maria showed the woman who was from work the way,Maria showed the way to the woman who was from work,def,2,longDefinite,106,65,-46.33041591278743,-45.22518016299,-1.10523574979743
FALSE,FALSE,alternating,105,5,Juan showed a man from work the way,Juan showed the way to a man from work,def,2,longIndefinite,107,16,-52.70736613520421,-37.37532928946894,-15.332036845735274
FALSE,FALSE,alternating,105,5,Mary showed him the way,Mary showed the way to him,def,2,pronoun,108,66,-15.0071063345531,-28.701213705237024,13.694107370683923
FALSE,FALSE,alternating,105,5,Linda showed the man the way,Linda showed the way to the man,def,2,shortDefinite,109,17,-19.354310517315753,-35.5296827928978,16.17537227558205
FALSE,FALSE,alternating,105,5,Mary showed a woman the way,Mary showed the way to a woman,def,2,shortIndefinite,110,68,-31.89664401812479,-33.3040128222201,1.407368804095313
FALSE,FALSE,alternating,105,5,Bob showed the woman wearing the hat a picture,Bob showed a picture to the woman wearing the hat,indef,3,longDefinite,111,18,-29.27795465674717,-38.04153675248381,8.763582095736638
FALSE,FALSE,alternating,105,5,Linda showed a man who was from work a picture,Linda showed a picture to a man who was from work,indef,3,longIndefinite,112,69,-38.905986524769105,-41.79261806840077,2.8866315436316654
FALSE,FALSE,alternating,105,5,Juan showed her a picture,Juan showed a picture to her,indef,3,pronoun,113,20,-21.0764272804372,-27.537210977519862,6.460783697082661
FALSE,FALSE,alternating,105,5,Maria showed the man a picture,Maria showed a picture to the man,indef,3,shortDefinite,114,70,-19.46686447155662,-28.354888343950734,8.888023872394115
FALSE,FALSE,alternating,105,5,Juan showed a woman a picture,Juan showed a picture to a woman,indef,3,shortIndefinite,115,21,-23.647412340156734,-31.20400987379253,7.556597533635795
FALSE,FALSE,alternating,105,5,Linda showed the man wearing the hat a trick,Linda showed a trick to the man wearing the hat,indef,4,longDefinite,116,71,-32.572009641095065,-41.57084121147636,8.998831570381299
FALSE,FALSE,alternating,105,5,Bob showed a man wearing a hat a trick,Bob showed a trick to a man wearing a hat,indef,4,longIndefinite,117,22,-34.30900032399222,-34.281963573535904,-0.02703675045631826
FALSE,FALSE,alternating,105,5,John showed her a trick,John showed a trick to her,indef,4,pronoun,118,73,-22.926811279496178,-33.847018152009696,10.920206872513518
FALSE,FALSE,alternating,105,5,Michael showed the man a trick,Michael showed a trick to the man,indef,4,shortDefinite,119,23,-21.537189691793174,-30.889799937140197,9.352610245347023
FALSE,FALSE,alternating,105,5,Alice showed a man a trick,Alice showed a trick to a man,indef,4,shortIndefinite,120,74,-30.341405836865306,-37.8730690991506,7.531663262285292
FALSE,FALSE,alternating,105,5,Juan showed the man who was wearing the hat something,Juan showed something to the man who was wearing the hat,something,5,longDefinite,121,25,-32.09093590115663,-36.09357612079475,4.002640219638124
FALSE,FALSE,alternating,105,5,Maria showed a man from work something,Maria showed something to a man from work,something,5,longIndefinite,122,75,-57.053258187836036,-40.006024044239894,-17.047234143596143
FALSE,FALSE,alternating,105,5,John showed her something,John showed something to her,something,5,pronoun,123,26,-16.93456702493131,-28.458830599323846,11.524263574392535
FALSE,FALSE,alternating,105,5,Michael showed the man something,Michael showed something to the man,something,5,shortDefinite,124,76,-16.206355908769183,-28.957265206612647,12.750909297843464
FALSE,FALSE,alternating,105,5,Michael showed a woman something,Michael showed something to a woman,something,5,shortIndefinite,125,27,-34.01100939861499,-35.39464690256864,1.3836375039536506
FALSE,FALSE,alternating,106,6,Alice wrote the woman who was from work the letter,Alice wrote the letter to the woman who was from work,def,1,longDefinite,126,78,-43.58539221761748,-34.29112880094908,-9.2942634166684
FALSE,FALSE,alternating,106,6,Maria wrote a woman who was from work the letter,Maria wrote the letter to a woman who was from work,def,1,longIndefinite,127,28,-54.59384959097952,-36.8800039452035,-17.71384564577602
FALSE,FALSE,alternating,106,6,Maria wrote him the letter,Maria wrote the letter to him,def,1,pronoun,128,79,-20.091121565084904,-18.169032766949385,-1.922088798135519
FALSE,FALSE,alternating,106,6,Juan wrote the man the letter,Juan wrote the letter to the man,def,1,shortDefinite,129,29,-22.671244874130934,-25.5243884914089,2.853143617277965
FALSE,FALSE,alternating,106,6,Mary wrote a man the letter,Mary wrote the letter to a man,def,1,shortIndefinite,130,80,-28.960160605143756,-22.75169444642961,-6.208466158714145
FALSE,FALSE,alternating,106,6,Michael wrote the man wearing the hat the message,Michael wrote the message to the man wearing the hat,def,2,longDefinite,131,31,-36.5102596070501,-30.00053257943364,-6.509727027616464
FALSE,FALSE,alternating,106,6,Juan wrote a man from work the message,Juan wrote the message to a man from work,def,2,longIndefinite,132,81,-48.96285002771765,-35.21090696868487,-13.751943059032783
FALSE,FALSE,alternating,106,6,Linda wrote him the message,Linda wrote the message to him,def,2,pronoun,133,32,-25.039631846826524,-23.1706278140191,-1.8690040328074247
FALSE,FALSE,alternating,106,6,Alice wrote the woman the message,Alice wrote the message to the woman,def,2,shortDefinite,134,83,-26.919632559875026,-24.6781429189723,-2.241489640902728
FALSE,FALSE,alternating,106,6,John wrote a man the message,John wrote the message to a man,def,2,shortIndefinite,135,33,-33.33170454669744,-26.59986811503768,-6.731836431659758
FALSE,FALSE,alternating,106,6,Juan wrote the woman from work a check,Juan wrote a check to the woman from work,indef,3,longDefinite,136,84,-37.533146837726235,-33.62182718794793,-3.9113196497783065
FALSE,FALSE,alternating,106,6,Linda wrote a man who was wearing a hat a check,Linda wrote a check to a man who was wearing a hat,indef,3,longIndefinite,137,34,-39.253413998521864,-28.62133562308736,-10.632078375434503
FALSE,FALSE,alternating,106,6,Maria wrote him a check,Maria wrote a check to him,indef,3,pronoun,138,85,-21.650203777477145,-24.839821074623615,3.1896172971464694
FALSE,FALSE,alternating,106,6,Juan wrote the man a check,Juan wrote a check to the man,indef,3,shortDefinite,139,36,-21.464179128524847,-26.3343471349217,4.870168006396852
FALSE,FALSE,alternating,106,6,John wrote a woman a check,John wrote a check to a woman,indef,3,shortIndefinite,140,86,-31.007268282119185,-28.633439786732197,-2.373828495386988
FALSE,FALSE,alternating,106,6,Michael wrote the man who was wearing the hat a note,Michael wrote a note to the man who was wearing the hat,indef,4,longDefinite,141,37,-18.488656841102056,-17.312524404842407,-1.1761324362596497
FALSE,FALSE,alternating,106,6,Michael wrote a woman from work a note,Michael wrote a note to a woman from work,indef,4,longIndefinite,142,88,-31.348875754047185,-25.48411816568114,-5.8647575883660465
FALSE,FALSE,alternating,106,6,Bob wrote her a note,Bob wrote a note to her,indef,4,pronoun,143,38,-16.817205687519163,-15.447471540654078,-1.3697341468650848
FALSE,FALSE,alternating,106,6,Linda wrote the man a note,Linda wrote a note to the man,indef,4,shortDefinite,144,89,-19.469992089783773,-18.403286070097238,-1.066706019686535
FALSE,FALSE,alternating,106,6,Mary wrote a woman a note,Mary wrote a note to a woman,indef,4,shortIndefinite,145,39,-32.02184427715838,-26.11968535464257,-5.9021589225158095
FALSE,FALSE,alternating,106,6,Michael wrote the woman who was wearing the hat something,Michael wrote something to the woman who was wearing the hat,something,5,longDefinite,146,90,-37.13385528884828,-31.957920010667294,-5.175935278180987
FALSE,FALSE,alternating,106,6,Mary wrote a man who was from work something,Mary wrote something to a man who was from work,something,5,longIndefinite,147,41,-51.004177439026535,-44.81601746287197,-6.188159976154566
FALSE,FALSE,alternating,106,6,John wrote her something,John wrote something to her,something,5,pronoun,148,91,-25.20127312745899,-22.32381066842936,-2.87746245902963
FALSE,FALSE,alternating,106,6,Alice wrote the woman something,Alice wrote something to the woman,something,5,shortDefinite,149,42,-35.42662222497165,-27.500718280207366,-7.925903944764286
FALSE,FALSE,alternating,106,6,Linda wrote a man something,Linda wrote something to a man,something,5,shortIndefinite,150,93,-38.27517210971564,-36.696578957140446,-1.5785931525751948
FALSE,FALSE,alternating,107,7,Linda brought the man who was from work the gift,Linda brought the gift to the man who was from work,def,1,longDefinite,151,43,-44.279745485284366,-42.56053598970175,-1.7192094955826178
FALSE,FALSE,alternating,107,7,John brought a woman wearing a hat the gift,John brought the gift to a woman wearing a hat,def,1,longIndefinite,152,94,-31.83929494570475,-25.23332661902532,-6.605968326679431
FALSE,FALSE,alternating,107,7,John brought her the gift,John brought the gift to her,def,1,pronoun,153,44,-21.480787721229717,-20.00933932606131,-1.4714483951684088
FALSE,FALSE,alternating,107,7,John brought the man the gift,John brought the gift to the man,def,1,shortDefinite,154,95,-22.561024887952954,-24.380515951663256,1.8194910637103021
FALSE,FALSE,alternating,107,7,Linda brought a woman the gift,Linda brought the gift to a woman,def,1,shortIndefinite,155,46,-36.250138905248605,-35.46888579800725,-0.7812531072413549
FALSE,FALSE,alternating,107,7,John brought the man wearing the hat the cake,John brought the cake to the man wearing the hat,def,2,longDefinite,156,96,-30.62185003142804,-34.47047869974631,3.8486286683182698
FALSE,FALSE,alternating,107,7,Juan brought a man from work the cake,Juan brought the cake to a man from work,def,2,longIndefinite,157,47,-51.40790214808658,-35.62625619233586,-15.781645955750719
FALSE,FALSE,alternating,107,7,Mary brought him the cake,Mary brought the cake to him,def,2,pronoun,158,97,-20.27494266803842,-21.087539429601748,0.8125967615633272
FALSE,FALSE,alternating,107,7,Bob brought the man the cake,Bob brought the cake to the man,def,2,shortDefinite,159,48,-22.2850189487217,-29.57562714559026,7.290608196868561
FALSE,FALSE,alternating,107,7,Alice brought a woman the cake,Alice brought the cake to a woman,def,2,shortIndefinite,160,99,-32.575014523928985,-38.39003936317749,5.815024839248508
FALSE,FALSE,alternating,107,7,Mary brought the woman from work a meal,Mary brought a meal to the woman from work,indef,3,longDefinite,161,49,-28.695019349455833,-34.162681001471356,5.467661652015522
FALSE,FALSE,alternating,107,7,Michael brought a man from work a meal,Michael brought a meal to a man from work,indef,3,longIndefinite,162,0,-34.77846354432404,-38.195272855460644,3.4168093111366034
FALSE,FALSE,alternating,107,7,Juan brought her a meal,Juan brought a meal to her,indef,3,pronoun,163,51,-22.399537595221773,-29.010551455197856,6.611013859976083
