iterationName,rt,response,setid,gameid,theme_type,recipient_id,verb_id,theme_id,DOsentence,PDsentence,frequency_rank,classification,stimulus_type,highValueMeans
mturkpilot1,12468.965000000026,36,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,shortIndefinite,178,3,Alice rowed a woman some medicine,Alice rowed some medicine to a woman,78,alternating,main_judgement,DO
mturkpilot1,6194.5100000011735,47,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,something,shortIndefinite,184,5,Alice peddled a man something,Alice peddled something to a man,84,alternating,main_judgement,DO
mturkpilot1,7228.355000006559,76,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,longDefinite,188,2,Juan alloted the man who was wearing the hat the bonus,Juan alloted the bonus to the man who was wearing the hat,88,alternating,main_judgement,DO
mturkpilot1,6349.054999998771,34,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,longIndefinite,191,3,Linda carted a team from work some medicine,Linda carted some medicine to a team from work,91,alternating,main_judgement,DO
mturkpilot1,4056.8200000052457,67,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,pronoun,194,4,Alice lobbed him a question,Alice lobbed a question to him,94,alternating,main_judgement,DO
mturkpilot1,5607.850000000326,26,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,something,shortDefinite,197,5,Maria cabled the man something,Maria cabled something to the man,97,alternating,main_judgement,DO
mturkpilot1,4252.694999995583,100,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,shortDefinite,4,2,Juan explained the woman the story,Juan explained the story to the woman,4,non-alternating,main_judgement,PD
mturkpilot1,5482.2799999965355,100,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,shortIndefinite,7,3,Mary described a woman an idea,Mary described an idea to a woman,7,non-alternating,main_judgement,PD
mturkpilot1,6251.674999999523,100,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,something,longDefinite,10,5,Juan mentioned the woman from work something,Juan mentioned something to the woman from work,10,non-alternating,main_judgement,PD
mturkpilot1,9526.10000000277,0,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,longIndefinite,14,1,Bob sang a man who was wearing a hat the song,Bob sang the song to a man who was wearing a hat,14,non-alternating,main_judgement,DO
mturkpilot1,5158.849999999802,22,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,pronoun,17,2,Michael announced her the outcome,Michael announced the outcome to her,17,non-alternating,main_judgement,DO
mturkpilot1,3461.94000000105,87,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,pronoun,23,4,Michael recommended her a band,Michael recommended a band to her,23,non-alternating,main_judgement,PD
mturkpilot1,5461.925000003248,19,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,something,shortDefinite,26,5,Alice declared the man something,Alice declared something to the man,26,non-alternating,main_judgement,DO
mturkpilot1,7335.8249999946565,42,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,shortIndefinite,30,1,Mary lowered a woman the ladder,Mary lowered the ladder to a woman,30,non-alternating,main_judgement,DO
mturkpilot1,8582.894999999553,14,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,longDefinite,33,3,Juan yelled the woman wearing the hat some directions,Juan yelled some directions to the woman wearing the hat,33,non-alternating,main_judgement,DO
mturkpilot1,7656.994999997551,11,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,something,longDefinite,39,5,John snapped the man who was wearing the hat something,John snapped something to the man who was wearing the hat,39,non-alternating,main_judgement,DO
mturkpilot1,7207.169999994221,21,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,longIndefinite,43,1,Bob donated a team from work the book,Bob donated the book to a team from work,43,non-alternating,main_judgement,DO
mturkpilot1,4778.814999997849,100,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,pronoun,46,2,Michael confessed her the transgression,Michael confessed the transgression to her,46,non-alternating,main_judgement,PD
mturkpilot1,5203.574999999546,86,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,shortDefinite,49,3,Linda blabbed the woman some information,Linda blabbed some information to the woman,49,non-alternating,main_judgement,PD
mturkpilot1,5513.945000006061,93,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,shortIndefinite,52,4,Juan dictated a woman a report,Juan dictated a report to a woman,52,non-alternating,main_judgement,PD
mturkpilot1,4720.590000004449,100,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,shortIndefinite,59,1,Alice recounted a woman the story,Alice recounted the story to a woman,59,non-alternating,main_judgement,PD
mturkpilot1,7060.279999997874,13,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,longDefinite,62,3,John chanted the man wearing the hat a prayer,John chanted a prayer to the man wearing the hat,62,non-alternating,main_judgement,DO
mturkpilot1,3968.2099999990896,100,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,,,,,,,,,catch2,correct
mturkpilot1,6036.885000001348,100,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,longIndefinite,65,4,Alice moaned a man wearing a hat a name,Alice moaned a name to a man wearing a hat,65,non-alternating,main_judgement,PD
mturkpilot1,4690.615000006801,54,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,something,pronoun,68,5,Juan tweeted her something,Juan tweeted something to her,68,non-alternating,main_judgement,PD
mturkpilot1,8220.945000000938,56,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,shortDefinite,72,1,Michael hissed the man the response,Michael hissed the response to the man,72,non-alternating,main_judgement,PD
mturkpilot1,4846.129999998084,27,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,shortDefinite,78,3,Bob entrusted the man a secret,Bob entrusted a secret to the man,78,non-alternating,main_judgement,DO
mturkpilot1,5547.614999995858,42,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,shortIndefinite,81,4,Alice hollered a man some directions,Alice hollered some directions to a man,81,non-alternating,main_judgement,DO
mturkpilot1,7841.8950000050245,6,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,longDefinite,85,1,Bob delegated the woman who was from work responsibility,Bob delegated responsibility to the woman who was from work,85,non-alternating,main_judgement,DO
mturkpilot1,5070.464999997057,89,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,longIndefinite,88,2,Alice snarled a man from work instructions,Alice snarled instructions to a man from work,88,non-alternating,main_judgement,PD
mturkpilot1,6709.674999998242,88,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,longIndefinite,94,4,John crooned a man who was wearing a hat a melody,John crooned a melody to a man who was wearing a hat,94,non-alternating,main_judgement,PD
mturkpilot1,6091.844999995374,72,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,something,pronoun,97,5,Mary remitted him something,Mary remitted something to him,97,non-alternating,main_judgement,PD
mturkpilot1,4378.530000001774,0,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,,,,,,,,,catch1,error
mturkpilot1,1321.8199999973876,,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,,,,,,,,,exit_survey,
mturkpilot1,1736.0000000044238,,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,,,,,,,,,,
mturkpilot1,2440.310000034515,,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,,,,,,,,,,
mturkpilot1,3701.6399999847636,,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,,,,,,,,,,
mturkpilot1,58343.11499999603,,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,,,,,,,,,,
mturkpilot1,13390.37500001723,10,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,shortIndefinite,101,2,Alice took a woman the blanket,Alice took the blanket to a woman,1,alternating,main_judgement,DO
mturkpilot1,7574.650000024121,8,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,longDefinite,104,4,Michael asked the man from work some questions,Michael asked some questions to the man from work,4,alternating,main_judgement,PD
mturkpilot1,11702.19999999972,6,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,something,longIndefinite,107,5,Maria brought a woman who was wearing a hat something,Maria brought something to a woman who was wearing a hat,7,alternating,main_judgement,DO
mturkpilot1,9822.750000050291,62,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,pronoun,111,1,Juan offered her the gift,Juan offered the gift to her,11,alternating,main_judgement,DO
mturkpilot1,8654.60000000894,53,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,pronoun,117,3,Juan taught her a concept,Juan taught a concept to her,17,alternating,main_judgement,PD
mturkpilot1,5990.599999960978,46,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,shortDefinite,120,4,Bob shot the woman a glance,Bob shot a glance to the woman,20,alternating,main_judgement,PD
mturkpilot1,8038.934999960475,40,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,something,shortIndefinite,123,5,John flew a team something,John flew something to a team,23,alternating,main_judgement,DO
mturkpilot1,70959.48000001954,2,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,longDefinite,127,2,Alice kicked the woman wearing the hat the ball,Alice kicked the ball to the woman wearing the hat,27,alternating,main_judgement,DO
mturkpilot1,136869.24999998882,87,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,longIndefinite,130,3,Linda cited a woman who was from work a quote,Linda cited a quote to a woman who was from work,30,alternating,main_judgement,PD
mturkpilot1,8038.49500004435,69,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,something,longIndefinite,136,5,Juan traded a woman from work something,Juan traded something to a woman from work,36,alternating,main_judgement,PD
mturkpilot1,5479.080000019167,52,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,pronoun,140,1,Michael advanced her the money,Michael advanced the money to her,40,alternating,main_judgement,PD
mturkpilot1,4966.340000042692,64,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,shortDefinite,143,2,Linda floated the woman the suggestion,Linda floated the suggestion to the woman,43,alternating,main_judgement,DO
mturkpilot1,5879.159999953117,57,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,shortIndefinite,146,3,Bob flipped a woman some candy,Bob flipped some candy to a woman,46,alternating,main_judgement,PD
mturkpilot1,8063.305000017863,59,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,something,shortIndefinite,152,5,Linda bounced a man something,Linda bounced something to a man,52,alternating,main_judgement,DO
mturkpilot1,6790.649999980815,79,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,longDefinite,156,2,Linda preached the team from work the gospel,Linda preached the gospel to the team from work,56,alternating,main_judgement,PD
mturkpilot1,7318.360000033863,44,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,longIndefinite,159,3,Michael willed a man from work the house,Michael willed the house to a man from work,59,alternating,main_judgement,DO
mturkpilot1,4422.610000008717,62,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,pronoun,162,4,John batted her a foul ball,John batted a foul ball to her,62,alternating,main_judgement,PD
mturkpilot1,6790.634999983013,45,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,something,shortDefinite,165,5,Michael flung the man something,Michael flung something to the man,65,alternating,main_judgement,DO
mturkpilot1,6262.730000016745,62,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,shortDefinite,172,2,Michael leased the woman the home,Michael leased the home to the woman,72,alternating,main_judgement,PD
mturkpilot1,10533.445000008214,57,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,shortIndefinite,175,3,Michael faxed a woman a letter,Michael faxed a letter to a woman,75,alternating,main_judgement,PD
mturkpilot1,12975.030000030529,53,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,something,longDefinite,178,5,Mary rowed the woman who was wearing the hat something,Mary rowed something to the woman who was wearing the hat,78,alternating,main_judgement,PD
mturkpilot1,7686.405000044033,45,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,longIndefinite,182,1,Linda forwarded a woman from work the message,Linda forwarded the message to a woman from work,82,alternating,main_judgement,DO
mturkpilot1,4445.830000040587,59,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,pronoun,185,2,John ceded her the floor,John ceded the floor to her,85,alternating,main_judgement,PD
mturkpilot1,6271.025000023656,61,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,pronoun,191,4,Michael carted them some books,Michael carted some books to them,91,alternating,main_judgement,PD
mturkpilot1,4214.799999957904,62,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,something,shortDefinite,194,5,John lobbed the woman something,John lobbed something to the woman,94,alternating,main_judgement,PD
mturkpilot1,9983.019999985117,68,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,shortIndefinite,198,1,Michael shuttled a team the packages,Michael shuttled the packages to a team,98,alternating,main_judgement,PD
mturkpilot1,7726.59500001464,17,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,longDefinite,1,3,John said the woman wearing the hat a word,John said a word to the woman wearing the hat,1,non-alternating,main_judgement,DO
mturkpilot1,7423.04999998305,11,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,something,longDefinite,7,5,Linda described the woman wearing the hat something,Linda described something to the woman wearing the hat,7,non-alternating,main_judgement,DO
mturkpilot1,9630.729999975301,43,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,longIndefinite,11,1,Mary presented a man who was from work the story,Mary presented the story to a man who was from work,11,non-alternating,main_judgement,DO
mturkpilot1,4230.76000000583,53,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,pronoun,14,2,Maria sang him the aria,Maria sang the aria to him,14,non-alternating,main_judgement,DO
mturkpilot1,10582.579999987502,25,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,shortDefinite,17,3,Alice announced the woman some new results,Alice announced some new results to the woman,17,non-alternating,main_judgement,DO
mturkpilot1,7615.410000027623,86,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,shortIndefinite,20,4,Alice introduced a man a winner,Alice introduced a winner to a man,20,non-alternating,main_judgement,PD
mturkpilot1,5374.10000001546,96,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,shortIndefinite,27,1,John proposed a man the suggestion,John proposed the suggestion to a man,27,non-alternating,main_judgement,PD
mturkpilot1,5278.510000032838,98,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,longDefinite,30,3,Alice lowered the man wearing the hat a hammer,Alice lowered a hammer to the man wearing the hat,30,non-alternating,main_judgement,PD
mturkpilot1,7551.180000009481,5,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,longIndefinite,33,4,Linda yelled a man who was wearing a hat a name,Linda yelled a name to a man who was wearing a hat,33,non-alternating,main_judgement,DO
mturkpilot1,4526.684999989811,93,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,something,pronoun,36,5,Mary illustrated him something,Mary illustrated something to him,36,non-alternating,main_judgement,PD
mturkpilot1,8854.954999987967,56,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,shortDefinite,40,1,Mary supplied the woman the news,Mary supplied the news to the woman,40,non-alternating,main_judgement,PD
mturkpilot1,8030.514999991283,21,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,shortDefinite,46,3,Bob confessed the man an error,Bob confessed an error to the man,46,non-alternating,main_judgement,DO
mturkpilot1,7470.8450000034645,27,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,shortIndefinite,49,4,Bob blabbed a man some news,Bob blabbed some news to a man,49,non-alternating,main_judgement,DO
mturkpilot1,8735.20999995526,36,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,longDefinite,53,1,Linda articulated the man who was from work the intention,Linda articulated the intention to the man who was from work,53,non-alternating,main_judgement,DO
mturkpilot1,7166.049999999814,89,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,longIndefinite,56,2,Maria muttered a man wearing a hat her hello,Maria muttered her hello to a man wearing a hat,56,non-alternating,main_judgement,PD
mturkpilot1,11711.10499999486,48,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,longIndefinite,62,4,Linda chanted a man who was from work a slogan,Linda chanted a slogan to a man who was from work,62,non-alternating,main_judgement,DO
mturkpilot1,6151.145000010729,93,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,something,pronoun,65,5,Linda moaned him something,Linda moaned something to him,65,non-alternating,main_judgement,PD
mturkpilot1,7694.465000007767,76,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,shortDefinite,69,1,Linda mumbled the man the directions,Linda mumbled the directions to the man,69,non-alternating,main_judgement,PD
mturkpilot1,8486.329999985173,38,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,shortIndefinite,72,2,John hissed a woman the reply,John hissed the reply to a woman,72,non-alternating,main_judgement,DO
mturkpilot1,9087.07000000868,70,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,longDefinite,75,4,Linda grumbled the woman from work a name,Linda grumbled a name to the woman from work,75,non-alternating,main_judgement,PD
mturkpilot1,6934.9700000020675,57,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,longDefinite,82,1,Bob reimbursed the man from work the money,Bob reimbursed the money to the man from work,82,non-alternating,main_judgement,DO
mturkpilot1,7278.775000013411,41,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,def,longIndefinite,85,2,John delegated a woman who was wearing a hat the job,John delegated the job to a woman who was wearing a hat,85,non-alternating,main_judgement,DO
mturkpilot1,5557.840000023134,100,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,,,,,,,,,catch2,correct
mturkpilot1,6231.105000013486,78,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,pronoun,88,3,John snarled her an order,John snarled an order to her,88,non-alternating,main_judgement,PD
mturkpilot1,7902.829999977257,89,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,indef,shortDefinite,91,4,Alice cackled the woman some noises,Alice cackled some noises to the woman,91,non-alternating,main_judgement,PD
mturkpilot1,4223.050000029616,0,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,,,,,,,,,catch1,error
mturkpilot1,3261.2849999568425,,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,,,,,,,,,exit_survey,
mturkpilot1,2007.6699999626726,,6,0847-e8a65071-6d0e-4d2a-a39b-c6f81e9d430e,,,,,,,,,,
mturkpilot1,100203.13000003807,,7,7517-3ef98850-67c7-42cf-a256-7e7acbde495f,,,,,,,,,,
mturkpilot1,9247.369999997318,,7,7517-3ef98850-67c7-42cf-a256-7e7acbde495f,,,,,,,,,,
mturkpilot1,57151.63500001654,,7,7517-3ef98850-67c7-42cf-a256-7e7acbde495f,,,,,,,,,,
mturkpilot1,8401.010000146925,1,7,7517-3ef98850-67c7-42cf-a256-7e7acbde495f,indef,longIndefinite,101,3,Bob took a man wearing a hat a gift,Bob took a gift to a man wearing a hat,1,alternating,main_judgement,DO
mturkpilot1,5022.679999936372,,10,2026-17b3a283-be02-4c21-809a-27d6296062a4,,,,,,,,,,
mturkpilot1,2977.8500001411885,,10,2026-17b3a283-be02-4c21-809a-27d6296062a4,,,,,,,,,,
mturkpilot1,68226.38500016183,,10,2026-17b3a283-be02-4c21-809a-27d6296062a4,,,,,,,,,,
mturkpilot1,9985.94000004232,48,10,2026-17b3a283-be02-4c21-809a-27d6296062a4,something,longIndefinite,104,5,Juan asked a man wearing a hat something,Juan asked something to a man wearing a hat,4,alternating,main_judgement,DO
mturkpilot1,6508.485000114888,49,10,2026-17b3a283-be02-4c21-809a-27d6296062a4,def,pronoun,108,1,Michael read her the book,Michael read the book to her,8,alternating,main_judgement,DO
mturkpilot1,4798.079999862239,58,10,2026-17b3a283-be02-4c21-809a-27d6296062a4,def,shortDefinite,111,2,Mary offered the woman the job,Mary offered the job to the woman,11,alternating,main_judgement,DO
mturkpilot1,8985.03000009805,52,10,2026-17b3a283-be02-4c21-809a-27d6296062a4,indef,shortIndefinite,114,3,Michael drove a man a fastball,Michael drove a fastball to a man,14,alternating,main_judgement,PD
mturkpilot1,6877.769999904558,48,10,2026-17b3a283-be02-4c21-809a-27d6296062a4,something,shortIndefinite,120,5,Michael shot a woman something,Michael shot something to a woman,20,alternating,main_judgement,DO
mturkpilot1,6299.494999926537,39,10,2026-17b3a283-be02-4c21-809a-27d6296062a4,def,longDefinite,124,2,Juan fed the woman wearing the hat the dinner,Juan fed the dinner to the woman wearing the hat,24,alternating,main_judgement,DO
mturkpilot1,7714.779999805614,84,10,2026-17b3a283-be02-4c21-809a-27d6296062a4,indef,longIndefinite,127,3,Bob kicked a man from work a weapon,Bob kicked a weapon to a man from work,27,alternating,main_judgement,DO
mturkpilot1,5167.610000120476,43,10,2026-17b3a283-be02-4c21-809a-27d6296062a4,indef,pronoun,130,4,Alice cited him some results,Alice cited some results to him,30,alternating,main_judgement,DO
mturkpilot1,4856.13500000909,10,10,2026-17b3a283-be02-4c21-809a-27d6296062a4,something,shortDefinite,133,5,Mary quoted the man something,Mary quoted something to the man,33,alternating,main_judgement,DO
mturkpilot1,4827.790000010282,48,10,2026-17b3a283-be02-4c21-809a-27d6296062a4,def,shortDefinite,140,2,Maria advanced the woman the loan,Maria advanced the loan to the woman,40,alternating,main_judgement,PD
mturkpilot1,4780.640000011772,78,10,2026-17b3a283-be02-4c21-809a-27d6296062a4,indef,shortIndefinite,143,3,Alice floated a man a proposal,Alice floated a proposal to a man,43,alternating,main_judgement,PD
mturkpilot1,5019.074999960139,54,10,2026-17b3a283-be02-4c21-809a-27d6296062a4,something,longDefinite,146,5,Juan flipped the man wearing the hat something,Juan flipped something to the man wearing the hat,46,alternating,main_judgement,DO
mturkpilot1,6062.940000090748,46,10,2026-17b3a283-be02-4c21-809a-27d6296062a4,def,longIndefinite,150,1,Linda awarded a woman who was from work the job,Linda awarded the job to a woman who was from work,50,alternating,main_judgement,DO
mturkpilot1,4896.480000112206,40,10,2026-17b3a283-be02-4c21-809a-27d6296062a4,def,pronoun,153,2,John snuck her the note,John snuck the note to her,53,alternating,main_judgement,PD
mturkpilot1,10832.449999870732,69,10,2026-17b3a283-be02-4c21-809a-27d6296062a4,indef,pronoun,159,4,Bob willed her a painting,Bob willed a painting to her,59,alternating,main_judgement,DO
mturkpilot1,4820.584999863058,64,10,2026-17b3a283-be02-4c21-809a-27d6296062a4,something,shortDefinite,162,5,Michael batted the woman something,Michael batted something to the woman,62,alternating,main_judgement,PD
