takes_female,plural,classification,verb_id,frequency_rank,DOsentence,PDsentence,theme_type,theme_id,recipient_id,i,trial_set,bert_ratio,BehavDOpreference,ngram_ratio,lstm_ratio,gpt2_ratio,gpt2-large_ratio,lstm-large_ratio
FALSE,FALSE,alternating,103,3,Alice gave a man who was from work a gift,Alice gave a gift to a man who was from work,indef,3,longIndefinite,62,38,-0.3308514426462352,30.666666666666668,-2.4091720581054688,-6.022166967391968,-1.088229775428772,-0.2846645712852478,-10.085191130638123
FALSE,FALSE,alternating,103,3,Alice gave him a gift,Alice gave a gift to him,indef,3,pronoun,63,89,7.562147389631718,74.5,2.867616653442383,2.8641064167022705,5.159596681594849,5.320099651813507,3.3697640895843506
FALSE,FALSE,alternating,103,3,Juan gave the man a gift,Juan gave a gift to the man,indef,3,shortDefinite,64,39,8.928431226173416,62.5,-1.1781730651855469,1.3270708322525024,1.196882724761963,3.1569390296936035,1.636005163192749
FALSE,FALSE,alternating,103,3,Mary gave a man a gift,Mary gave a gift to a man,indef,3,shortIndefinite,65,90,1.9401569860056043,48.55555555555556,-0.5196552276611328,-0.045084476470947266,0.7082992792129517,3.2895503640174866,1.0849649906158447
FALSE,FALSE,alternating,103,3,Alice gave the woman who was from work a message,Alice gave a message to the woman who was from work,indef,4,longDefinite,66,40,4.464891160954721,46.0,-1.1161613464355469,-6.664400041103363,-3.6576391458511353,-3.8884897232055664,-8.674168705940247
FALSE,FALSE,alternating,103,3,Michael gave a man wearing a hat a message,Michael gave a message to a man wearing a hat,indef,4,longIndefinite,67,91,1.8055204261327162,30.9,-1.6208877563476562,-8.348093807697296,-1.7994630634784698,-0.6244656145572662,-5.6474515199661255
FALSE,FALSE,alternating,103,3,Juan gave her a message,Juan gave a message to her,indef,4,pronoun,68,42,1.55535951978527,75.27272727272727,1.5608673095703125,0.5717032551765442,1.493465006351471,3.2470988035202026,4.065432786941528
FALSE,FALSE,alternating,103,3,John gave the man a message,John gave a message to the man,indef,4,shortDefinite,69,92,5.632446192321368,63.5,-1.4118232727050781,2.169127881526947,0.22419512271881104,0.9757762551307678,1.5931239128112793
FALSE,FALSE,alternating,103,3,Bob gave a woman a message,Bob gave a message to a woman,indef,4,shortIndefinite,70,43,-1.713197028497234,64.9,-0.7007484436035156,-0.02942800521850586,-0.4161145091056824,-0.03493762016296387,1.6175673007965088
FALSE,FALSE,alternating,103,3,John gave the woman wearing the hat something,John gave something to the woman wearing the hat,something,5,longDefinite,71,94,6.428785539465025,12.0,2.0614147186279297,-6.837218701839447,-5.460030198097229,-1.0578396320343018,-6.815459430217743
FALSE,FALSE,alternating,103,3,Maria gave a man who was wearing a hat something,Maria gave something to a man who was wearing a hat,something,5,longIndefinite,72,44,-2.58819690765813,21.857142857142858,0.9509735107421875,-9.284493386745453,-1.56523996591568,-1.2181535959243774,-11.979197442531586
FALSE,FALSE,alternating,103,3,Linda gave him something,Linda gave something to him,something,5,pronoun,73,95,10.175429122755304,58.142857142857146,4.0679473876953125,1.6190332770347595,2.7382785081863403,2.871722102165222,4.689152479171753
FALSE,FALSE,alternating,103,3,John gave the woman something,John gave something to the woman,something,5,shortDefinite,74,45,8.207295141648501,46.15384615384615,2.0614166259765625,0.08464318513870239,-2.369894027709961,0.5706539154052734,3.7543158531188965
FALSE,FALSE,alternating,103,3,Maria gave a man something,Maria gave something to a man,something,5,shortIndefinite,75,96,-9.265804867260158,17.818181818181817,2.097837448120117,-0.01807570457458496,-0.29268014430999756,0.4937647581100464,-3.9708058834075928
FALSE,FALSE,alternating,104,4,Linda asked the woman from work the question,Linda asked the question to the woman from work,def,1,longDefinite,76,47,-10.176992616965435,46.44444444444444,-1.5527820587158203,-1.5994861125946045,1.2583363056182861,1.9162193536758423,3.287996530532837
FALSE,FALSE,alternating,104,4,Bob asked a man wearing a hat the question,Bob asked the question to a man wearing a hat,def,1,longIndefinite,77,97,-1.5123728500911966,42.2,-2.1173152923583984,-10.80766773223877,-4.373724520206451,0.10605022311210632,-14.459187775850296
FALSE,FALSE,alternating,104,4,Alice asked him the question,Alice asked the question to him,def,1,pronoun,78,48,3.6013046422740445,86.33333333333333,1.3425540924072266,4.418230295181274,3.9572325944900513,2.899267554283142,-5.467200517654419
FALSE,FALSE,alternating,104,4,Mary asked the man the question,Mary asked the question to the man,def,1,shortDefinite,79,98,5.058144087786786,69.66666666666667,-0.49003028869628906,3.49782395362854,3.060788631439209,3.7112693786621094,11.211495041847229
FALSE,FALSE,alternating,104,4,Bob asked a man the question,Bob asked the question to a man,def,1,shortIndefinite,80,49,1.437521806685254,89.3076923076923,-0.9100284576416016,-0.6521284580230713,0.8002793788909912,3.847245454788208,-2.677848219871521
FALSE,FALSE,alternating,104,4,Linda asked the man who was from work the questions,Linda asked the questions to the man who was from work,def,2,longDefinite,81,0,-9.398596982762683,43.333333333333336,-1.1245231628417969,-3.0181825160980225,-0.8071670532226562,0.4165968894958496,0.7251404523849487
FALSE,FALSE,alternating,104,4,Maria asked a woman who was wearing a hat the questions,Maria asked the questions to a woman who was wearing a hat,def,2,longIndefinite,82,50,-2.2686269671539776,45.666666666666664,-3.2226486206054688,-9.214052140712738,-2.035991996526718,1.3755599558353424,-4.922030448913574
FALSE,FALSE,alternating,104,4,Mary asked him the questions,Mary asked the questions to him,def,2,pronoun,83,1,3.5520918597467244,83.0,0.8733139038085938,2.7760993242263794,3.618271827697754,3.951995372772217,7.253202795982361
FALSE,FALSE,alternating,104,4,Linda asked the man the questions,Linda asked the questions to the man,def,2,shortDefinite,84,52,5.464193382766098,89.38461538461539,-0.1380176544189453,1.8275171518325806,1.1133019924163818,3.2868731021881104,7.108980298042297
FALSE,FALSE,alternating,104,4,Bob asked a woman the questions,Bob asked the questions to a woman,def,2,shortIndefinite,85,2,-5.747291345731355,61.90909090909091,-1.9666633605957031,-2.0277678966522217,1.7544269561767578,4.96585750579834,-2.9396677017211914
FALSE,FALSE,alternating,104,4,Mary asked the man who was wearing the hat a question,Mary asked a question to the man who was wearing the hat,indef,3,longDefinite,86,53,0.6231761546223424,60.15384615384615,-3.0551795959472656,-5.4857847690582275,0.44799935817718506,-1.7237975001335144,0.38489794731140137
FALSE,FALSE,alternating,104,4,Michael asked a woman who was wearing a hat a question,Michael asked a question to a woman who was wearing a hat,indef,3,longIndefinite,87,3,-6.748503907438135,44.142857142857146,-3.7592926025390625,-6.2989649176597595,-2.7094312012195587,-4.364962607622147,-2.398033022880554
FALSE,FALSE,alternating,104,4,Juan asked her a question,Juan asked a question to her,indef,3,pronoun,88,54,3.2706635262584314,96.5,-1.3454227447509766,3.6405303478240967,2.8266284465789795,3.0827992260456085,1.9550824165344238
FALSE,FALSE,alternating,104,4,Maria asked the man a question,Maria asked a question to the man,indef,3,shortDefinite,89,5,4.276683383912314,82.0,-1.3443126678466797,3.3725513219833374,0.9880176782608032,0.919365406036377,5.618662238121033
FALSE,FALSE,alternating,104,4,Juan asked a woman a question,Juan asked a question to a woman,indef,3,shortIndefinite,90,55,-1.2876667816890404,93.23076923076923,-2.2573299407958984,2.375136971473694,1.8068696856498718,1.5662301778793335,2.245634436607361
FALSE,FALSE,alternating,104,4,Michael asked the man from work some questions,Michael asked some questions to the man from work,indef,4,longDefinite,91,6,-4.802146115922369,81.88888888888889,-0.43366050720214844,-5.530707478523254,2.404240906238556,-0.5770420730113983,0.8631975650787354
FALSE,FALSE,alternating,104,4,Bob asked a man who was from work some questions,Bob asked some questions to a man who was from work,indef,4,longIndefinite,92,57,-9.545656421920285,32.111111111111114,-1.9750518798828125,-6.410775661468506,0.15502935647964478,-2.59789314866066,-10.749829947948456
FALSE,FALSE,alternating,104,4,Maria asked him some questions,Maria asked some questions to him,indef,4,pronoun,93,7,2.881142250727862,96.8,0.5249195098876953,4.545991063117981,5.837286829948425,1.942043662071228,11.195917010307312
FALSE,FALSE,alternating,104,4,Linda asked the man some questions,Linda asked some questions to the man,indef,4,shortDefinite,94,58,5.250298014958389,81.4,-0.4230518341064453,2.4659430980682373,2.9612029790878296,0.29316234588623047,7.7136839628219604
FALSE,FALSE,alternating,104,4,Bob asked a man some questions,Bob asked some questions to a man,indef,4,shortIndefinite,95,8,3.546587338671088,92.72727272727273,-1.2718791961669922,0.2215747833251953,3.2535656690597534,2.4376367032527924,-1.6313538551330566
FALSE,FALSE,alternating,104,4,Linda asked the woman from work something,Linda asked something to the woman from work,something,5,longDefinite,96,59,-10.37026797287399,68.6,2.7287139892578125,-0.6700724363327026,-1.7632031440734863,0.5998847484588623,4.483230113983154
FALSE,FALSE,alternating,104,4,Juan asked a man wearing a hat something,Juan asked something to a man wearing a hat,something,5,longIndefinite,97,10,-5.487709214270581,56.27272727272727,1.8160991668701172,-4.354440808296204,-1.4091678857803345,-2.5804854333400726,1.8304466307163239
FALSE,FALSE,alternating,104,4,Bob asked her something,Bob asked something to her,something,5,pronoun,98,60,7.28888536861632,94.16666666666667,2.208843231201172,-0.12374818325042725,2.5041561126708984,4.258082866668701,4.468980312347412
FALSE,FALSE,alternating,104,4,Maria asked the man something,Maria asked something to the man,something,5,shortDefinite,99,11,7.788445832091384,87.11111111111111,2.8578624725341797,1.2003388404846191,0.3289792537689209,1.5027828216552734,7.707125425338745
FALSE,FALSE,alternating,104,4,John asked a man something,John asked something to a man,something,5,shortIndefinite,100,62,-3.099757957388647,77.88888888888889,2.054920196533203,-0.9820672273635864,0.5616545677185059,2.5966575145721436,6.1236231327056885
FALSE,FALSE,alternating,105,5,Alice showed the woman who was from work the city,Alice showed the city to the woman who was from work,def,1,longDefinite,101,12,-17.017589265829884,47.142857142857146,-0.3102684020996094,2.215513229370117,-1.5938116312026978,-0.8526709079742432,-3.072137951850891
FALSE,FALSE,alternating,105,5,Bob showed a woman who was wearing a hat the city,Bob showed the city to a woman who was wearing a hat,def,1,longIndefinite,102,63,-11.630474125267938,30.555555555555557,-1.0735855102539062,-7.993947625160217,-4.410377472639084,-0.1691126823425293,-2.5113112926483154
FALSE,FALSE,alternating,105,5,Juan showed her the city,Juan showed the city to her,def,1,pronoun,103,13,3.6413129433058202,62.0,1.2976093292236328,4.160457611083984,3.5851869583129883,7.035501003265381,1.9045672416687012
FALSE,FALSE,alternating,105,5,John showed the woman the city,John showed the city to the woman,def,1,shortDefinite,104,64,3.0123118673218414,76.3,0.120758056640625,0.1589970588684082,3.490434765815735,3.7463313341140747,3.1653902530670166
FALSE,FALSE,alternating,105,5,John showed a woman the city,John showed the city to a woman,def,1,shortIndefinite,105,15,-3.8827965521486476,43.54545454545455,0.6114349365234375,-3.3017351627349854,2.3047425746917725,5.534398794174194,1.106287956237793
FALSE,FALSE,alternating,105,5,Maria showed the woman who was from work the way,Maria showed the way to the woman who was from work,def,2,longDefinite,106,65,-1.10523574979743,41.36363636363637,0.6463470458984375,-1.4792375564575195,-1.5853981971740723,-2.8620569705963135,-9.6271470785141
FALSE,FALSE,alternating,105,5,Juan showed a man from work the way,Juan showed the way to a man from work,def,2,longIndefinite,107,16,-15.332036845735274,52.875,1.8898391723632812,-2.647177219390869,1.4616634845733643,0.7336488962173462,-10.925180077552795
FALSE,FALSE,alternating,105,5,Mary showed him the way,Mary showed the way to him,def,2,pronoun,108,66,13.694107370683923,82.0,4.781332015991211,0.7599310874938965,6.768802046775818,4.260649085044861,6.351700305938721
FALSE,FALSE,alternating,105,5,Linda showed the man the way,Linda showed the way to the man,def,2,shortDefinite,109,17,16.17537227558205,76.16666666666667,0.3475761413574219,0.2770514488220215,2.8119698762893677,0.65174400806427,2.7851974964141846
FALSE,FALSE,alternating,105,5,Mary showed a woman the way,Mary showed the way to a woman,def,2,shortIndefinite,110,68,1.407368804095313,66.11111111111111,-0.2425823211669922,-4.31106424331665,4.289425373077393,0.9272168874740601,-0.5155625343322754
FALSE,FALSE,alternating,105,5,Bob showed the woman wearing the hat a picture,Bob showed a picture to the woman wearing the hat,indef,3,longDefinite,111,18,8.763582095736638,27.88888888888889,-1.1514892578125,-5.376646041870117,-5.780920088291168,-0.9797899723052979,-8.34048068523407
FALSE,FALSE,alternating,105,5,Linda showed a man who was from work a picture,Linda showed a picture to a man who was from work,indef,3,longIndefinite,112,69,2.8866315436316654,40.75,-0.6962356567382812,-2.7443891763687134,-2.1212096214294434,-1.077426552772522,-5.112212777137756
FALSE,FALSE,alternating,105,5,Juan showed her a picture,Juan showed a picture to her,indef,3,pronoun,113,20,6.460783697082661,69.3,1.9549198150634766,2.396146059036255,3.2576942443847656,3.1003811359405518,0.5185093879699707
FALSE,FALSE,alternating,105,5,Maria showed the man a picture,Maria showed a picture to the man,indef,3,shortDefinite,114,70,8.888023872394115,57.333333333333336,-0.03915977478027344,0.31962132453918457,3.787326455116272,1.5808309316635132,9.481170415878296
FALSE,FALSE,alternating,105,5,Juan showed a woman a picture,Juan showed a picture to a woman,indef,3,shortIndefinite,115,21,7.556597533635795,32.3,0.10539436340332031,-2.315532684326172,1.8102080821990967,1.3390002250671387,11.057357788085938
FALSE,FALSE,alternating,105,5,Linda showed the man wearing the hat a trick,Linda showed a trick to the man wearing the hat,indef,4,longDefinite,116,71,8.998831570381299,30.727272727272727,-0.1346588134765625,-2.8381378650665283,-5.401803016662598,1.1588585376739502,0.9016321897506714
